Source,Target
human,AP2A2
human,AP1B1
human,AP2B1
human,AP1G1
human,AEBP1
human,TLE5
human,CRISP1
human,AF8T
human,AFA
human,AFD1
human,AFG3L1P
human,AFM
human,AFP
human,AGA
human,ACAN
human,AGER
human,AGL
human,AGMX2
human,AGRP
human,JAG1
human,AGT
human,AGTR1
human,AGTR2
human,APLNR
human,AGXT
human,NR0B1
human,AHCY
human,AIC
human,AHR
human,AHSG
human,AIF1
human,AIH3
human,CRYBG1
human,AK1
human,AK2
human,AK4
human,AK4P1
human,AKT1
human,AKT2
human,ALAD
human,ALAS1
human,ALAS2
human,ALB
human,ALCAM
human,ABCD1
human,ALDH1A1
human,ALDH2
human,ALDH3A1
human,ALDH1B1
human,ALDH1A3
human,ALDH3B1
human,ALDH3B2
human,ALDH9A1
human,ALDH3A2
human,ABCD2
human,ALDOA
human,ALDOAP2
human,ALDOB
human,ALDOC
human,AKR1B1
human,AKR1B1P2
human,ALK
human,ALOX12
human,ALOX5
human,ALOX5AP
human,ALOX12B
human,ALOX12P1
human,ALOX12P2
human,ALOX15
human,ALOX15B
human,ALPI
human,ALPL
human,ALPP
human,ALPG
human,ALS3
human,ALX3
human,AMBN
human,AMBP
human,AMCN
human,AMD1
human,AMD1P2
human,AMELX
human,AMELY
human,AMFR
human,AMH
human,AMHR2
human,AMPD1
human,AMPD2
human,AMPD3
human,AMPH
human,BIN1
human,AMT
human,AMY1A
human,AMY1B
human,AMY1C
human,AMY2A
human,AMY2B
human,AMYP1
human,ANCR
human,ANG
human,ANGPT1
human,ANGPT2
human,ANK1
human,ANK2
human,ANK3
human,ANOP1
human,ANPEP
human,SLC25A4
human,SLC25A5
human,SLC25A6
human,ANXA1
human,ANXA2
human,ANXA2P1
human,ANXA2P2
human,ANXA2P3
human,ANXA3
human,ANXA4
human,ANXA5
human,ANXA6
human,ANXA7
human,ANXA11
human,ANXA13
human,AOAH
human,AOC2
human,AOX1
human,APAF1
human,NUDT2
human,APOF
human,APBA1
human,APBA2
human,APBB1
human,APBB2
human,APC
human,APCS
human,AIRE
human,APEH
human,APEX1
human,BIRC2
human,BIRC3
human,XIAP
human,BIRC5
human,APLP1
human,APLP2
human,APOA1
human,APOA2
human,APOA4
human,APOB
human,APOBEC1
human,APOC1
human,APOC1P1
human,AQP8
human,APOC2
human,APOC3
human,APOC4
human,APOD
human,APOE
human,APOH
human,APP
human,APRT
human,KLK3
human,FAS
human,FASLG
human,SHROOM2
human,AQP1
human,AQP2
human,AQP3
human,AQP4
human,AQP5
human,AQP6
human,AQP7
human,AQP9
human,AR
human,ABCC6
human,ARAF
human,ARCN1
human,TRIM23
human,AREG
human,ARF1
human,ARF3
human,ARF4
human,ARL4D
human,ARF4P1
human,ARF5
human,ARF6
human,ARG1
human,ARG2
human,RHOA
human,RHOB
human,RHOC
human,RND3
human,RHOG
human,ARHGAP1
human,ARHGAP4
human,ARHGAP5
human,ARHGAP6
human,ARHGDIA
human,ARHGDIB
human,ARHGDIG
human,RHOH
human,ARL1
human,PHOX2A
human,ARL2
human,ARL3
human,ARNT
human,ARNTL
human,ARR3
human,ARRB1
human,ARRB2
human,ARSA
human,ARSB
human,STS
human,ARSC2
human,ARSD
human,ARSL
human,ARSF
human,ART1
human,ART2P
human,ART3
human,ART4
human,ARVCF
human,ARVD3
human,ARVD4
human,ASAH1
human,ASCL1
human,ASCL2
human,ASD1
human,ASGR1
human,ASGR2
human,ASIP
human,ASL
human,ASLP1
human,ASMT
human,GET3
human,ASNS
human,ASNSP2
human,ASPA
human,ASPH
human,ASS1
human,ASS1P2
human,ASS1P4
human,ASS1P5
human,ASS1P6
human,ASS1P8
human,ASS1P9
human,ASS1P10
human,ASS1P14
human,ASTN1
human,SERPINC1
human,ZFHX3
human,ATD
human,ATF1
human,ATF3
human,ATF4
human,ATF4P1
human,ATHS
human,ATIC
human,ATM
human,RERE
human,ATOH1
human,ATOX1
human,ATP1A1
human,ATP1A2
human,ATP1A3
human,ATP12A
human,ATP1A4
human,ATP1B1
human,ATP1B2
human,ATP1B3
human,ATP1B3P1
human,ATP1B1P1
human,FXYD2
human,ATP2A1
human,ATP2A2
human,ATP2A3
human,ATP2B1
human,ATP2B2
human,ATP2B3
human,ATP2B4
human,ATP4A
human,ATP4B
human,ATP5F1A
human,ALDH7A1
human,ATP5F1AP2
human,ATP5F1B
human,ATP5F1BP1
human,ATP5F1C
human,ATP5F1D
human,ATP5F1E
human,ATP5PB
human,ATP5MC1
human,ATP5MC2
human,ATP5MC3
human,ATP5MC2P1
human,ATP5ME
human,ATP5PF
human,ATP6V1A
human,ATP6V1B1
human,ATP6V1B2
human,ATP6V0C
human,ATP6V1C1
human,ATP6V1E1
human,ATP6V0B
human,ATP6V1G2
human,ATP6V0A1
human,ATP6AP1
human,ATP7A
human,ATP5PO
human,ATP7B
human,ALDH7A1P1
human,ALDH7A1P2
human,ALDH7A1P3
human,ALDH7A1P4
human,ATR
human,ATRX
human,KIF1A
human,AUH
human,AUP1
human,AVP
human,AVPR1A
human,AVPR1B
human,AVPR2
human,AXL
human,AZF1
human,AZGP1
human,AZU1
human,B2M
human,B2MR
human,BAAT
human,BACH1
human,BAD
human,BAG1
human,BAGE
human,ADGRB1
human,ADGRB2
human,ADGRB3
human,BAK1
human,NKX3-2
human,BARD1
human,BAX
human,BBS1
human,BBS2
human,BBS4
human,BCAT1
human,BCAT2
human,BCHE
human,BCKDHA
human,BCKDHB
human,CCND1
human,BCL2
human,BCL2A1
human,BCL2L1
human,BCL2L2
human,BAK1P1
human,BAK1P2
human,BCL3
human,BCL5
human,BCL6
human,BCL7A
human,NBEAP1
human,BCL9
human,TNFRSF17
human,HCN2
human,OPN1SW
human,BCR
human,BCRP4
human,BCS1L
human,BCYRN1
human,BCYRN1P1
human,BCYRN1P2
human,BDH1
human,BDKRB1
human,BDKRB2
human,BDNF
human,BEVI
human,CFB
human,BFSP1
human,BGLAP
human,BGN
human,CEACAM1
human,BHMT
human,BICD1
human,BID
human,BIK
human,PRDM1
human,BLK
human,BLM
human,BLMH
human,CXCR5
human,BLVRA
human,BLVRB
human,BNC1
human,BMI1
human,BMP1
human,BMP2
human,BMP3
human,BMP4
human,BMP5
human,BMP6
human,BMP7
human,BMP8B
human,BMPR1A
human,BMPR1B
human,BMPR2
human,BMX
human,POLR3D
human,BNIP1
human,BNIP2
human,BNIP3
human,BNIP3L
human,BOK
human,DST
human,FOXL2
human,BPGM
human,BPHL
human,BPI
human,BRCA1
human,BRAF
human,BRCA2
human,BRDT
human,ZFP36L1
human,ZFP36L2
human,BRS3
human,BSG
human,BST1
human,BST2
human,BTC
human,BTD
human,KLF9
human,KLF5
human,BTF3
human,BTF3P11
human,BTF3P1
human,BTG1
human,BTK
human,BTN1A1
human,BUB1
human,BVR1
human,BUB1B
human,BYSL
human,TSPO
human,C1QBP
human,SERPING1
human,ERC2-IT1
human,C1QA
human,C1QB
human,C1QC
human,C1R
human,C1S
human,C2
human,C3
human,C3AR1
human,C4A
human,C4B
human,C4BPA
human,C4BPAP2
human,C4BPB
human,CAPN5
human,C5
human,C5AR1
human,C6
human,C7
human,C8A
human,C8B
human,C8G
human,OSGIN2
human,C9
human,VPS51
human,MRPL49
human,ZNHIT2
human,MPPED2
human,MYRF
human,TMEM258
human,DAGLA
human,GAS8-AS1
human,FMNL1
human,LDLRAD4
human,PTTG1IP
human,CFAP410
human,TMEM50B
human,MPPED1
human,CA1
human,CA2
human,CA3
human,CA4
human,CA5A
human,CA5AP1
human,CA6
human,CA7
human,CA8
human,CA9
human,CA11
human,CA12
human,CACD
human,CACNA1A
human,CACNA1B
human,CACNA1C
human,CACNA1D
human,CACNA1E
human,CACNA1F
human,CACNA1S
human,DDR1
human,CACNA2D1
human,CACNB1
human,CACNB2
human,CACNB3
human,CACNB4
human,CACNG1
human,SLC25A20
human,SLC25A20P1
human,CAD
human,CALB1
human,CALB2
human,S100G
human,CALCA
human,CALCB
human,CALCP
human,CALCR
human,CALD1
human,CALM1
human,CALM1P1
human,CALM1P2
human,CALM2
human,CALM2P2
human,CALM2P3
human,CALM3
human,CALML3
human,CALR
human,CALU
human,CAMK4
human,CAMK2A
human,CAMK2B
human,CAMK2D
human,CAMK2G
human,CAMLG
human,CAMP
human,CANX
human,CAPG
human,CAPN1
human,CAPN2
human,CAPN3
human,CAPNS1
human,CAPN6
human,CAPS
human,CAPZA1
human,CAPZA2
human,CAST
human,CAPZB
human,CARS1
human,CASP1
human,CASP2
human,CASP3
human,CASP4
human,CASP5
human,CASP6
human,CASP7
human,CASP8
human,CASP9
human,CASP10
human,CASQ1
human,CASQ2
human,CASR
human,CAT
human,CATR1
human,CAV1
human,CAV2
human,CAV3
human,RUNX2
human,RUNX1
human,RUNX1T1
human,CBFA2T3
human,RUNX3
human,CBFB
human,SERPINA6
human,CBL
human,CBLB
human,CBLN1
human,SERPINH1
human,CBR1
human,CBR3
human,CBS
human,CCA1
human,CCIN
human,CCAL1
human,KYAT1
human,CCK
human,CCKAR
human,CCKBR
human,KRIT1
human,CCNA2
human,CCNB1
human,CCNC
human,CCND2
human,CCND2P1
human,CCND3
human,CCND3P1
human,CCNE1
human,CCNF
human,CCNG1
human,CCNG2
human,CCNH
human,CCNT1
human,CCNT2
human,CCT
human,CCT6A
human,CD1A
human,CD1B
human,CD1C
human,CD1D
human,CD1E
human,CD2
human,CD3D
human,CD3E
human,CD3G
human,CD247
human,CD4
human,CD5
human,CD5L
human,CD6
human,CD7
human,CD8A
human,CD8B
human,CD8B2
human,CD9
human,CD14
human,CD19
human,MS4A1
human,MS4A3
human,CD22
human,CD24P1
human,CD24P2
human,CD24P3
human,CD24P4
human,CD27
human,CD28
human,CD80
human,CD86
human,TNFRSF8
human,TNFSF8
human,CD33
human,SIGLEC6
human,CD34
human,CD36
human,SCARB1
human,SCARB2
human,CD37
human,CD38
human,ENTPD1
human,ENTPD2
human,ENTPD6
human,ENTPD3
human,ENTPD5
human,CD40
human,CD40LG
human,CD44
human,CD47
human,CD48
human,CD53
human,CD58
human,CD59
human,CD63
human,CD68
human,CD69
human,CD70
human,CD72
human,CD74
human,CD79A
human,CD79B
human,CD81
human,ADGRE5
human,CD151
human,CDA
human,CDAN3
human,CDB2
human,CDK1
human,CDK11B
human,LRBA
human,CDC5L
human,SEPTIN7
human,CDC6
human,CDC20
human,CDC25A
human,CDC25B
human,CDC25C
human,CDC27
human,CDC34
human,CDC42
human,CDH1
human,CDH2
human,CDH3
human,CDH4
human,CDH5
human,CDH6
human,CDH7
human,CDH8
human,CDH9
human,CDH10
human,CDH11
human,CDH12
human,CDH12P2
human,CDH13
human,CDH15
human,CDH16
human,CDH17
human,CDH18
human,CDK2
human,CDK3
human,CDK4
human,CDK5
human,CDK6
human,CDK7
human,CDK8
human,CDK9
human,CDKN1A
human,CDKN1B
human,CDKN1C
human,CDKN2A
human,CDKN2B
human,CDKN2C
human,CDKN2D
human,CDKN3
human,CDO1
human,CDR1
human,CDR2
human,CDS1
human,CDSN
human,CD52
human,CDX1
human,CDX2
human,CDX4
human,CLGN
human,CEACAM5
human,CEBPA
human,CEBPB
human,CEBPD
human,CEBPE
human,CEBPG
human,CECR
human,CEL
human,CELP
human,CENPA
human,CENPB
human,CENPC
human,CENPCP1
human,CENPE
human,CENPF
human,CES1
human,CETN1
human,CETN2
human,CETN3
human,CETP
human,CFL1
human,CFL2
human,CFL1P5
human,CTSC
human,CFTR
human,CGA
human,CGB3
human,CGF1
human,CEACAM3
human,CEACAMP5
human,CEACAMP11
human,CEACAM7
human,CEACAM8
human,CEACAM4
human,CEACAMP1
human,CEACAMP2
human,CEACAMP3
human,CEACAMP4
human,CEACAMP6
human,CEACAMP7
human,CEACAMP8
human,CEACAMP9
human,CEACAMP10
human,CHAD
human,RCBTB2
human,CHAT
human,RCC1
human,CHD1
human,CHD2
human,CHD3
human,CHD4
human,AKR1C4
human,CHEK1
human,FOXN3
human,CHGA
human,CHGB
human,CHI3L1
human,CHI3L2
human,CHIT1
human,CHKA
human,CHKB
human,CHM
human,CHML
human,CHN1
human,CHN2
human,CHRM1
human,CHRM2
human,LYST
human,CHRM3
human,CHRM4
human,CHRM5
human,CHRNA1
human,CHRNA2
human,CHRNA3
human,CHRNA4
human,CHRNA5
human,CHRNA7
human,CHRNB1
human,CHRNB2
human,CHRNB3
human,CHRNB4
human,CHRND
human,CHRNE
human,CHRNG
human,CHUK
human,CIDEA
human,CKB
human,CIRBP
human,CISH
human,TBCB
human,CKBE
human,CKBP1
human,CKM
human,CKMT1B
human,CKMT2
human,ERCC8
human,CKS1B
human,CKS2
human,CLA3
human,AP2M1
human,AP1S1
human,AP2S1
human,AP3S1
human,CLC
human,CLCA1
human,CLCN1
human,CLCN2
human,CLCN3
human,CLCN4
human,CLCN5
human,CLCN6
human,CLCN7
human,CLCNKA
human,CLCNKB
human,CLU
human,CLIC1
human,CLIC2
human,CLK1
human,CLK2
human,CLK2P1
human,CLK3
human,TPP1
human,CLN3
human,CLN5
human,CLNS1AP1
human,CLNS1A
human,CLPS
human,CLPTM1
human,CLTA
human,CLTB
human,CLTC
human,CMA1
human,CMD1B
human,CCR1
human,CCR3
human,CCR4
human,CCR5
human,CCR6
human,CCR7
human,CCR8
human,ACKR2
human,CMKLR1
human,LTB4R
human,CMM
human,ABCC2
human,CMTX2
human,CMTX3
human,CNA1
human,CNC2
human,CNGB1
human,CNGA1
human,CNGA2
human,CNGA3
human,CNGA4
human,PLK3
human,CNN1
human,CNN2
human,CNN3
human,CNP
human,CNR1
human,CNR2
human,CNTF
human,CNTFR
human,CNTN1
human,COD2
human,COL1A1
human,COL1A2
human,COL1AR
human,COL2A1
human,COL3A1
human,COL4A1
human,CTD
human,COL4A2
human,COL4A3
human,COL4A4
human,COL4A5
human,COL4A6
human,COL5A1
human,COL5A2
human,COL6A1
human,COL6A2
human,COL6A3
human,COL7A1
human,COL8A1
human,COL8A2
human,COL9A1
human,COL9A2
human,COL9A3
human,COL10A1
human,COL11A1
human,COL11A2
human,COL12A1
human,COL13A1
human,COL15A1
human,COL16A1
human,COL17A1
human,COL19A1
human,COMP
human,COMT
human,COPA
human,COPB1
human,KLF6
human,SLC31A1
human,SLC31A2
human,CORD1
human,CORT
human,MAP3K8
human,COX4I1
human,COX5B
human,COX5BP1
human,COX5BP2
human,COX5BP3
human,COX5BP4
human,COX5BP7
human,COX6A1
human,COX6A1P1
human,COX6A2
human,COX6B1
human,COX6B1P2
human,COX6B1P3
human,COX6C
human,COX7A1
human,COX7A2
human,COX7A2P2
human,COX7B
human,COX7C
human,COX8A
human,COX10
human,COX11
human,COX15
human,CP
human,CPA1
human,CPA2
human,CPA3
human,CPB1
human,CPB2
human,CPD
human,CPE
human,CLDN4
human,CLDN3
human,CLDN7
human,CPM
human,CPN1
human,CPN2
human,CPOX
human,CPS1
human,CPT1A
human,CPT1B
human,CPT2
human,CR1
human,CR1L
human,CR2
human,CRABP1
human,CRABP2
human,CRAT
human,CREB1
human,ATF2
human,CREBBP
human,ATF6B
human,CREBL2
human,CREM
human,CRH
human,CRHBP
human,CRHR1
human,CRHR2
human,CRIP1
human,CRIP2
human,CRK
human,CRKL
human,CRMP1
human,CRP
human,HAPLN1
human,CRX
human,CRY1
human,CRY2
human,CRYAA
human,CRYAB
human,CRYBA1
human,CRYBA2
human,CRYBA4
human,CRYBB1
human,CRYBB2
human,CRYBB2P1
human,CRYBB3
human,CRYGA
human,CRYGB
human,CRYGC
human,CRYGD
human,CRYGFP
human,CRYGGP
human,CRYGS
human,CRYM
human,CRYZ
human,CRYZP1
human,CS
human,MAPK14
human,CSE1L
human,CSF1
human,CSF1R
human,CSF2
human,CSF2RA
human,CSF2RB
human,CSF3
human,CSF3R
human,CSH1
human,CSH2
human,CSHL1
human,CSK
human,CSN1S1
human,CSN2
human,CSN3
human,CSNK1A1
human,CSNK1D
human,CSNK1E
human,CSNK1G2
human,CSNK1G3
human,CSNK2A1
human,CSNK2A2
human,CSNK2B
human,VCAN
human,NCAN
human,CSPG4
human,CSRP1
human,CSRP2
human,CSRP2P1
human,SLC25A10
human,CST1
human,CST2
human,CST3
human,CST4
human,CST5
human,CST6
human,CSTA
human,CSTB
human,CSTF1
human,CSTF2
human,CSTF3
human,CSTP1
human,CSTP2
human,NKX2-5
human,CTAA1
human,CTAA2
human,CTAG1B
human,CTBS
human,CTBP1
human,CTBP2
human,CTF1
human,CCN2
human,CTH
human,CTLA4
human,CTNNA1
human,CTNNA2
human,CTNS
human,CTNNA1P1
human,CTNNB1
human,CTNND1
human,CTNND2
human,CTPS1
human,CTRB1
human,CTRL
human,CTSB
human,CTSD
human,CTSE
human,CTSG
human,CTSH
human,CTSK
human,CTSL
human,CTSV
human,CTSLP2
human,CTSLP8
human,CTSO
human,CTSS
human,CTSW
human,CTSZ
human,CUX1
human,CX3CR1
human,CXADR
human,CXB3S
human,TEX28
human,CYB5A
human,CYB5AP3
human,CYB5AP4
human,CYB561
human,CYBA
human,CYBB
human,CYC1
human,CYLC1
human,CYLC2
human,CYLD
human,CYMD
human,CYP1A1
human,CYP1A2
human,CYP1B1
human,CYP2A6
human,CYP2A7
human,CYP2A7P1
human,CYP3A7
human,CYP2A13
human,CYP2B6
human,CYP2B7P
human,CYP2C19
human,CYP2C8
human,CYP2C9
human,CYP2C18
human,CYP2D7
human,CYP2D6
human,CYP2D7BP
human,CYP2D8P
human,CYP2E1
human,CYP2F1
human,CYP2J2
human,CYP3A4
human,CYP3A5
human,CYP3A51P
human,CYP4A11
human,CYP4B1
human,CYP7A1
human,CYP8B1
human,CYP11A1
human,CYP11B1
human,CYP11B2
human,CYP17A1
human,ADAM3A
human,CYP19A1
human,CYP21A2
human,CYP21A1P
human,CYP24A1
human,CYP26A1
human,CYP27A1
human,CYP27B1
human,CYP51A1
human,ADAM3B
human,DAB1
human,DAB2
human,DACH1
human,DAD1
human,CD55
human,DAG1
human,DGKA
human,DGKB
human,DGKG
human,DGKQ
human,DAO
human,DAP
human,DAPK1
human,DAPK3
human,DARS1
human,DAXX
human,DAZ1
human,DAZL
human,BRINP1
human,DBH
human,DBI
human,DBIP2
human,DBIP1
human,DBN1
human,DBP
human,DBT
human,DCC
human,ECI1
human,DCK
human,DCN
human,DCTD
human,ACE
human,DCR
human,DCT
human,DCTN1
human,DCX
human,DDB1
human,DDB2
human,DDC
human,AKR1C1
human,AKR1C2
human,GADD45A
human,GADD45AP1
human,DDIT3
human,DDOST
human,DDT
human,DDX1
human,DDX3X
human,DDX5
human,DDX6
human,DMXL1
human,DHX8
human,DHX9
human,DHX9P1
human,DDX10
human,DDX11
human,DHX15
human,DECR1
human,DEFA1
human,DEFA3
human,DEFA4
human,DEFA5
human,DEFA6
human,DEFB1
human,DEFB4A
human,DES
human,CFD
human,DFFA
human,DFFB
human,TIMM8A
human,DFNX3
human,GSDME
human,DFNA7
human,COCH
human,DFNA16
human,DFNB5
human,DFNB13
human,DFNB14
human,DFNB17
human,DFNB20
human,DGCR
human,DGUOK
human,DHCR7
human,DHCR24
human,DHFR
human,DHFRP3
human,DHODH
human,DHPS
human,CYB5R3
human,NQO1
human,DIAPH1
human,DIAPH2
human,SEPTIN1
human,DIH1
human,DIO1
human,DIO2
human,DIO3
human,DKC1
human,DLAT
human,DLD
human,DLG1
human,DLG2
human,DLG3
human,DLG4
human,DLST
human,DLSTP1
human,DLX1
human,DLX2
human,DLX3
human,DLX4
human,DLX5
human,DLX6
human,DMBT1
human,DMD
human,SARDH
human,DMP1
human,DNM1
human,DMPK
human,DMRT1
human,DMWD
human,DNA2
human,DNAH5
human,DNAH6
human,DNAH8
human,DNAH9
human,DNASE1
human,DNASE1L1
human,DNASE1L2
human,DNASE1L3
human,DNASE2
human,DYNC1H1
human,DYNC1I1
human,DYNC1I2
human,DYNC1LI2
human,DNCM
human,DNM2
human,DNMT1
human,TRDMT1
human,DNMT3A
human,DNMT3B
human,DNTT
human,DOCK1
human,DOCK2
human,DOCK3
human,DOK1
human,DXO
human,DPAGT1
human,DPEP1
human,DPH1
human,DPH2
human,DPP4
human,DPP6
human,DPT
human,DPYD
human,DPYS
human,DPYSL2
human,DPYSL3
human,DR1
human,SLC26A3
human,DRD1
human,DRD2
human,DRD3
human,DRD4
human,DRD5
human,DRD5P1
human,DRD5P2
human,DRG2
human,ARID3A
human,DRP2
human,ATN1
human,DSC1
human,DSC2
human,DSC3
human,DSCAM
human,RCAN1
human,DSG1
human,DSG2
human,DSG3
human,TSC22D3
human,DSP
human,EPYC
human,DSPP
human,SLC26A2
human,DTNA
human,DTNB
human,HBEGF
human,DTX1
human,DTYMK
human,ECM2
human,DUSP1
human,DUSP2
human,DUSP3
human,DUSP4
human,DUSP5
human,DUSP6
human,DUSP7
human,DUSP8
human,DUSP9
human,DUT
human,DVL1
human,DVL2
human,DVL3
human,DWS
human,DYRK1A
human,TOR1A
human,DYT7
human,DYX1
human,E2F1
human,E2F2
human,E2F3
human,E2F3P1
human,E2F4
human,E2F5
human,E2F6
human,E4F1
human,E11S
human,EBF1
human,GPR183
human,EBM
human,EBR3
human,EBVS1
human,ECE1
human,TYMP
human,ECH1
human,ECHS1
human,ECM1
human,ECT2
human,EDA
human,S1PR1
human,LPAR1
human,S1PR3
human,EDN1
human,EDN2
human,EDN3
human,EDNRA
human,EDNRB
human,PHC1
human,PHC2
human,EEC1
human,EEC2
human,EEF1A1
human,EEF1A2
human,EEF1A1P43
human,EEF1B2P1
human,EEF1B2
human,EEF1B2P2
human,EEF1D
human,EEF1G
human,EEF2
human,EIF2D
human,EEGV1
human,EFNA1
human,EFNA2
human,EFNA3
human,EFNA4
human,EFNA5
human,EFNB1
human,EFNB2
human,EFNB3
human,EGF
human,CELSR3
human,CELSR2
human,MEGF6
human,MEGF8
human,MEGF9
human,EGFR
human,EGI
human,EGR1
human,EGR2
human,EGR3
human,EGR4
human,EHHADH
human,EIF1AX
human,EIF2S1
human,EIF2B1
human,EIF2S3
human,EPHA2
human,EIF4A1
human,EIF4A2
human,EIF4B
human,EIF4E
human,EIF4EBP1
human,EIF4EBP2
human,EIF4EP1
human,EIF4G1
human,EIF4G2
human,EIF5
human,EIF5A
human,EIF5AP2
human,EIF5AP3
human,CELA1
human,ELANE
human,SERPINB1
human,ELAVL2
human,ELAVL1
human,ELAVL3
human,ELAVL4
human,ELF1
human,ELF2
human,ELF3
human,ELF4
human,ELF5
human,ELK1
human,ELK2AP
human,ELK3
human,ELK4
human,ELN
human,EML1
human,EMD
human,MARK2
human,EMP1
human,EMP2
human,EMP3
human,ADGRE1
human,EMX1
human,CTTN
human,EMX2
human,EN1
human,EN2
human,ENDOG
human,ENG
human,ENO1
human,ENO1P1
human,ENO2
human,ENO3
human,ENPEP
human,ENSA
human,SLC29A1
human,ENUR1
human,ENUR2
human,EP300
human,EPAS1
human,EPB41
human,EPB41L1
human,EPB41L2
human,EPB42
human,DMTN
human,STOM
human,EPHA1
human,EPHA3
human,EPHA4
human,EPHA5
human,EPHA7
human,EPHA8
human,EPHB1
human,EPHB2
human,EPHB3
human,EPHB4
human,EPHB6
human,EPHX1
human,EPHX2
human,STX2
human,CLN8
human,EPO
human,EPOR
human,EPRS1
human,EPS8
human,EPS15
human,NR2F6
human,ERBB2
human,ERBB3
human,ERBB4
human,ERCC1
human,ERCC2
human,EREG
human,EYA4
human,ERCC3
human,ERCC4
human,ERCC5
human,ERCC6
human,ERCM1
human,ERF
human,ERG
human,ERH
human,ERN1
human,ERV3-1
human,ESA4
human,FBL
human,ESAT
human,ESB3
human,ESD
human,ESR1
human,ESR2
human,ESRRA
human,ESRRB
human,ESRRG
human,ETF1
human,ETFA
human,ETFB
human,ETFDH
human,ETM2
human,ETS1
human,ETS2
human,ETV1
human,ETV2
human,ETV3
human,ETV4
human,ETV5
human,ETV6
human,EVC
human,MECOM
human,EVI2A
human,EVI2B
human,EVPL
human,EVX1
human,EWSR1
human,EXT1
human,EXT2
human,EXT3
human,EXTL1
human,EXTL2
human,EXTL3
human,EYA1
human,EYA2
human,EYA3
human,EYCL1
human,EZH1
human,EZH2
human,F2
human,F2R
human,F2RL1
human,F2RL2
human,F3
human,F5
human,F7
human,F7R
human,F8
human,F9
human,F10
human,F11
human,F12
human,F13A1
human,F13B
human,FAAH
human,FABP4
human,FABP1
human,FABP2
human,FABP3
human,FABP5
human,FABP6
human,FABP7
human,FANCA
human,FANCC
human,FANCD2
human,FANCE
human,ACSL1
human,ACSL3
human,ACSL4
human,FAH
human,PTK2B
human,BPTF
human,FANCB
human,FANCF
human,FANCG
human,FAP
human,FBLN1
human,FARSA
human,FASN
human,FAT1
human,FAT2
human,FAU
human,FBLN2
human,FBN1
human,FBN2
human,EFEMP1
human,FBP1
human,FCAR
human,FCER1A
human,MS4A2
human,FCER1G
human,FCER2
human,FCGR1A
human,FCGR1B
human,FCGR2A
human,FCGR2B
human,FCGR3A
human,FCGR3B
human,FDX1P2
human,FCGRT
human,FKTN
human,FCN1
human,FCN2
human,FCP1
human,FDFT1
human,FDPS
human,FDPSP3
human,FDPSP4
human,FDPSP5
human,FDX1
human,FDX1P1
human,FDXR
human,FEB1
human,FEB2
human,FECH
human,FECHP1
human,FEN1
human,GPC4
human,FER
human,FES
human,FGA
human,FGB
human,FGD1
human,FGF1
human,FGF2
human,FGF3
human,FGF4
human,FGF5
human,FGF6
human,FGF7
human,FGF8
human,FGF9
human,FGF10
human,FGF11
human,FGF12
human,FGF13
human,FGF14
human,FGFR1
human,FGFR3
human,GPC5
human,FGFR2
human,FGFR4
human,FGG
human,FGL1
human,FGR
human,FGS2
