"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","dis","mod","annot"
"runx2 regulates bone development","runx2 regulates bone development","7/174","31/10821",4.67787252226637e-07,2.01399604937867e-05,1.49715034788618e-05,"AR/BGLAP/COL1A1/RUNX2/SATB2/SMAD1/SP7",7,"AGE RELATED OSTEOPOROSIS",2,"Cell fate: apoptosis, senesence, differentiation"
"transcriptional regulation by runx2","transcriptional regulation by runx2","12/174","120/10821",4.77772785436545e-07,2.01399604937867e-05,1.49715034788618e-05,"AR/AKT1/BGLAP/BMP2/COL1A1/ESR1/ESRRA/RUNX2/SATB2/SMAD1/SMURF1/SP7",12,"AGE RELATED OSTEOPOROSIS",2,"Cell fate: apoptosis, senesence, differentiation"
"runx2 regulates osteoblast differentiation","runx2 regulates osteoblast differentiation","6/174","24/10821",1.67835474404979e-06,6.56955999813777e-05,4.88363372892684e-05,"AR/BGLAP/COL1A1/RUNX2/SATB2/SP7",6,"AGE RELATED OSTEOPOROSIS",2,"Cell fate: apoptosis, senesence, differentiation"
"negative regulation of tcf dependent signaling by wnt ligand antagonists","negative regulation of tcf dependent signaling by wnt ligand antagonists","5/174","15/10821",2.67513694640858e-06,9.77316697754601e-05,7.26510875972015e-05,"DKK1/LRP5/LRP6/SOST/WNT4",5,"AGE RELATED OSTEOPOROSIS",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"vegfr2 mediated vascular permeability","vegfr2 mediated vascular permeability","6/174","27/10821",3.54619979349811e-06,0.00012145734292731,9.02881131634058e-05,"AKT1/CAV1/CTNNB1/HSP90AA1/MTOR/RICTOR",6,"AGE RELATED OSTEOPOROSIS",4,"Signal transduction upon growth factor stimulation"
"foxo mediated transcription of oxidative stress metabolic and neuronal genes","foxo mediated transcription of oxidative stress metabolic and neuronal genes","6/174","30/10821",6.83432114894505e-06,0.000208067110534549,0.00015467147863402,"POMC/FOXO1/IGFBP1/INS/NPY/SOD2",6,"AGE RELATED OSTEOPOROSIS",10,"NOTCH and FOXO mediated gene expression"
"synthesis secretion and deacylation of ghrelin","synthesis secretion and deacylation of ghrelin","5/174","19/10821",9.83122786652179e-06,0.000283553308992313,0.000210785882789138,"GCG/GH1/IGF1/INS/LEP",5,"AGE RELATED OSTEOPOROSIS",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"anti inflammatory response favouring leishmania parasite infection","anti inflammatory response favouring leishmania parasite infection","14/174","223/10821",1.4069937572825e-05,0.000385516289495405,0.000286582412667541,"POMC/ADM/CALCR/CRH/GCG/GIP/IL6/INSL3/PTGER4/PTH/PTH1R/PTHLH/RXFP2/TSHR",14,"AGE RELATED OSTEOPOROSIS",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"incretin synthesis secretion and inactivation","incretin synthesis secretion and inactivation","5/174","23/10821",2.70032249783031e-05,0.000676701206706384,0.000503041427190493,"CDX2/CTNNB1/GCG/GIP/LEP",5,"AGE RELATED OSTEOPOROSIS",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"extracellular matrix organization","extracellular matrix organization","16/174","301/10821",2.71668367655848e-05,0.000676701206706384,0.000503041427190493,"BMP2/BMP7/CD44/CDH1/CEACAM1/COL1A1/COL1A2/CTSB/CTSK/DDR2/FGF2/IBSP/MMP9/SERPINE1/SPP1/TGFB1",16,"AGE RELATED OSTEOPOROSIS",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"gene and protein expression by jak stat signaling after interleukin 12 stimulation","gene and protein expression by jak stat signaling after interleukin 12 stimulation","6/174","38/10821",2.85621645983781e-05,0.000680524617387444,0.000505883647577681,"ANXA2/IFNG/MIF/PPIA/SOD2/SOD1",6,"AGE RELATED OSTEOPOROSIS",8,"Interferon stimulated genes: interleukins and antigen presentation"
"pi3k akt signaling in cancer","pi3k akt signaling in cancer","9/174","102/10821",3.71289349923554e-05,0.000847777348992115,0.000630214817633401,"AKT1/ESR1/ESR2/FGF2/FGFR3/FOXO1/KL/MTOR/RICTOR",9,"AGE RELATED OSTEOPOROSIS",4,"Signal transduction upon growth factor stimulation"
"wnt ligand biogenesis and trafficking","wnt ligand biogenesis and trafficking","5/174","26/10821",5.07647175181483e-05,0.00111276260799781,0.000827197712822038,"VPS35/WNT1/WNT10B/WNT16/WNT4",5,"AGE RELATED OSTEOPOROSIS",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"atf4 activates genes in response to endoplasmic reticulum stress","atf4 activates genes in response to endoplasmic reticulum stress","5/174","27/10821",6.14961988192052e-05,0.00129615065203556,0.000963523438989167,"ATF4/CCL2/DDIT3/IGFBP1/CXCL8",5,"AGE RELATED OSTEOPOROSIS",6,"Unfolded protein response (UPR)"
"the nlrp3 inflammasome","the nlrp3 inflammasome","4/174","15/10821",7.67572209491521e-05,0.00155788729926427,0.00115809140379422,"NFKB1/NFKB2/RELA/P2RX7",4,"AGE RELATED OSTEOPOROSIS",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"signaling by wnt","signaling by wnt","16/174","331/10821",8.48358899696335e-05,0.00166035956083426,0.00123426651948301,"AKT1/CAV1/CTNNB1/DKK1/LRP5/LRP6/MEN1/NFATC1/SMURF1/SOST/SOX6/VPS35/WNT1/WNT10B/WNT16/WNT4",16,"AGE RELATED OSTEOPOROSIS",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"interleukin 12 signaling","interleukin 12 signaling","6/174","47/10821",9.85591219105691e-05,0.00186242754506869,0.00138447840941525,"ANXA2/IFNG/MIF/PPIA/SOD2/SOD1",6,"AGE RELATED OSTEOPOROSIS",8,"Interferon stimulated genes: interleukins and antigen presentation"
"disassembly of the destruction complex and recruitment of axin to the membrane","disassembly of the destruction complex and recruitment of axin to the membrane","5/174","31/10821",0.00012286670519199,0.00224436514817369,0.00166840052313334,"CAV1/CTNNB1/LRP5/LRP6/WNT1",5,"AGE RELATED OSTEOPOROSIS",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"perk regulates gene expression","perk regulates gene expression","5/174","32/10821",0.000143739107645515,0.00254093648354007,0.00188886365564735,"ATF4/CCL2/DDIT3/IGFBP1/CXCL8",5,"AGE RELATED OSTEOPOROSIS",6,"Unfolded protein response (UPR)"
"nuclear receptor transcription pathway","nuclear receptor transcription pathway","6/174","53/10821",0.000194589951003189,0.00333235291092961,0.00247718128415244,"AR/ESR1/ESR2/ESRRA/PPARG/VDR",6,"AGE RELATED OSTEOPOROSIS",2,"Cell fate: apoptosis, senesence, differentiation"
"signaling by tgfb family members","signaling by tgfb family members","8/174","102/10821",0.000230842769104182,0.0038333890142149,0.00284963801095114,"BMP2/MEN1/SERPINE1/SMAD1/SMAD5/SMURF1/SP1/TGFB1",8,"AGE RELATED OSTEOPOROSIS",7,"Response against viruses via TGF-SMAD signaling"
"inflammasomes","inflammasomes","4/174","20/10821",0.000255842383818978,0.00400576075236571,0.00297777451241938,"NFKB1/NFKB2/RELA/P2RX7",4,"AGE RELATED OSTEOPOROSIS",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"interleukin 12 family signaling","interleukin 12 family signaling","6/174","57/10821",0.000291693870872187,0.00444022892327663,0.0033007464335537,"ANXA2/IFNG/MIF/PPIA/SOD2/SOD1",6,"AGE RELATED OSTEOPOROSIS",8,"Interferon stimulated genes: interleukins and antigen presentation"
"negative regulation of the pi3k akt network","negative regulation of the pi3k akt network","8/174","110/10821",0.000386859133340511,0.00562005029411556,0.00417779382217196,"AKT1/ESR1/ESR2/FGF2/FGFR3/IL33/INS/KL",8,"AGE RELATED OSTEOPOROSIS",4,"Signal transduction upon growth factor stimulation"
"intracellular signaling by second messengers","intracellular signaling by second messengers","14/174","304/10821",0.000389855881831237,0.00562005029411556,0.00417779382217196,"AKT1/BMI1/ESR1/ESR2/EZH2/FGF2/FGFR3/FOXO1/IL33/INS/KL/MTOR/PPARG/RICTOR",14,"AGE RELATED OSTEOPOROSIS",4,"Signal transduction upon growth factor stimulation"
"interleukin 1 family signaling","interleukin 1 family signaling","9/174","139/10821",0.000399967082975377,0.00562005029411556,0.00417779382217196,"IL1A/IL18/IL1B/IL1RN/IL33/IL37/NFKB1/NFKB2/RELA",9,"AGE RELATED OSTEOPOROSIS",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"transcriptional regulation by ventx","transcriptional regulation by ventx","5/174","41/10821",0.000475944069285598,0.00636139877971971,0.00472889229303021,"CSF1R/CTNNB1/IL6/NFKB1/RELA",5,"AGE RELATED OSTEOPOROSIS",2,"Cell fate: apoptosis, senesence, differentiation"
"enos activation","enos activation","3/174","11/10821",0.000613192984379259,0.00800070846285319,0.00594751090112214,"AKT1/CAV1/HSP90AA1",3,"AGE RELATED OSTEOPOROSIS",4,"Signal transduction upon growth factor stimulation"
"constitutive signaling by akt1 e17k in cancer","constitutive signaling by akt1 e17k in cancer","4/174","26/10821",0.000732213780135259,0.0093314686398633,0.00693676212759719,"AKT1/FOXO1/MTOR/RICTOR",4,"AGE RELATED OSTEOPOROSIS",4,"Signal transduction upon growth factor stimulation"
"signaling by interleukins","signaling by interleukins","96/564","462/10821",2.22680089404988e-33,2.26242970835467e-30,1.64783266159691e-30,"POMC/AKT1/ALOX15/ALOX5/APP/BCL2/BCL2L1/CASP1/CASP3/CCL2/CCL3/CCL5/CCR2/CCR5/CD36/CDKN1A/CEBPD/CREB1/CSF1/CSF1R/CSF2/CSF3/CTSG/CXCL10/FASLG/FGF2/FN1/FOS/FOXO3/FYN/GAB2/GSTO1/HGF/HIF1A/HMGB1/HMOX1/HSP90AA1/HSPA8/HSPA9/ICAM1/IFNG/IL1A/IL10/IL12A/IL12B/IL1B/IL1RN/IL2/IL23A/IL33/IL34/IL4/IL6/IL6R/CXCL8/INPP5D/IRS1/IRS2/JUN/LCN2/MAOA/MAPK1/MAPK10/MAPK14/MAPK3/MAPK8/MCL1/MIF/MMP3/MMP9/MYC/NFKB1/NFKB2/RELA/NOS2/PTGS2/PTK2B/PTPN4/S100A12/S100B/S1PR1/SMAD3/SNAP25/SOD1/SOD2/SQSTM1/STAT3/TGFB1/TIMP1/TNF/TNFRSF1A/TP53/TYK2/UBB/VEGFA/YWHAZ",96,"ALZHEIMER DISEASE",8,"Interferon stimulated genes: interleukins and antigen presentation"
"interleukin 4 and interleukin 13 signaling","interleukin 4 and interleukin 13 signaling","47/564","111/10821",1.88918344344362e-31,9.5970518926936e-29,6.9899787407414e-29,"POMC/AKT1/ALOX15/ALOX5/BCL2/BCL2L1/CCL2/CD36/CDKN1A/CEBPD/FASLG/FGF2/FN1/FOS/FOXO3/HGF/HIF1A/HMOX1/HSP90AA1/HSPA8/ICAM1/IL1A/IL10/IL12A/IL12B/IL1B/IL23A/IL4/IL6/IL6R/CXCL8/LCN2/MAOA/MCL1/MMP3/MMP9/MYC/NOS2/PTGS2/S1PR1/STAT3/TGFB1/TIMP1/TNF/TP53/TYK2/VEGFA",47,"ALZHEIMER DISEASE",8,"Interferon stimulated genes: interleukins and antigen presentation"
"interleukin 10 signaling","interleukin 10 signaling","24/564","46/10821",2.6963162651511e-19,9.13152441797839e-17,6.65091345403938e-17,"CCL2/CCL3/CCL5/CCR2/CCR5/CSF1/CSF2/CSF3/CXCL10/ICAM1/IL1A/IL10/IL12A/IL12B/IL1B/IL1RN/IL6/CXCL8/PTGS2/STAT3/TIMP1/TNF/TNFRSF1A/TYK2",24,"ALZHEIMER DISEASE",8,"Interferon stimulated genes: interleukins and antigen presentation"
"neutrophil degranulation","neutrophil degranulation","66/564","479/10821",2.00104262127674e-13,5.08264825804292e-11,3.70192884936197e-11,"AOC1/ADAM10/ALOX5/AZU1/CALML5/CD14/CD33/CD36/CD44/CD55/CHI3L1/CHIT1/CR1/CST3/CTSB/CTSD/CTSG/CXCR2/CYBB/EEF1A1/EEF2/ELANE/FPR2/GPI/GRN/GSN/GSTP1/HMGB1/HP/HSP90AA1/HSPA1A/HSPA8/IDH1/LCN2/LGALS3/LILRB2/LILRB3/LTF/LYZ/MAPK1/MAPK14/MIF/MME/MMP9/MPO/MVP/NCSTN/NFKB1/PLAU/PRDX6/PRKCD/PSEN1/PTPRC/QPCT/RAB7A/RHOA/ROCK1/S100A12/S100A9/SERPINA3/SERPINB6/SNAP25/TLR2/TTR/TYROBP/VCP",66,"ALZHEIMER DISEASE",8,"Interferon stimulated genes: interleukins and antigen presentation"
"plasma lipoprotein assembly remodeling and clearance","plasma lipoprotein assembly remodeling and clearance","21/564","71/10821",3.74009567715316e-11,5.94166504367786e-09,4.32759068141892e-09,"A2M/ABCA1/ALB/APOA1/APOA4/APOB/APOC1/APOC2/APOE/CETP/LDLR/LIPA/LIPC/LPL/NPC1/NR1H2/PCSK9/PLTP/SCARB1/SOAT1/VLDLR",21,"ALZHEIMER DISEASE",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"programmed cell death","programmed cell death","34/564","180/10821",4.09366686080168e-11,5.94166504367786e-09,4.32759068141892e-09,"AKT1/BAX/BCL2/BCL2L1/CASP3/CASP6/CASP8/CASP9/CD14/CDH1/CDKN2A/CTNNB1/CYCS/DAPK1/DNM1L/FAS/FASLG/GSN/HMGB1/MAPK1/MAPK3/MAPK8/MAPT/PRKCD/RIPK1/ROCK1/STAT3/TLR4/TNFRSF10A/TNFSF10/TP53/TP73/UBB/YWHAZ",34,"ALZHEIMER DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"extra nuclear estrogen signaling","extra nuclear estrogen signaling","21/564","75/10821",1.18107963968902e-10,1.49997114240506e-08,1.09249866671235e-08,"AKT1/BCL2/CAV1/CDKN1B/CREB1/EGFR/ESR1/ESR2/FOS/FOXO3/HSP90AA1/HSPB1/IGF1R/MAPK1/MAPK3/MMP3/MMP9/NOS3/PRKCZ/SPHK1/SRF",21,"ALZHEIMER DISEASE",4,"Signal transduction upon growth factor stimulation"
"diseases of signal transduction by growth factor receptors and second messengers","diseases of signal transduction by growth factor receptors and second messengers","52/564","386/10821",2.02058855863134e-10,2.28101997285494e-08,1.66137281487466e-08,"ACTB/ADAM10/AKT1/APH1A/ARRB1/CASP9/CCNC/CDKN1A/CDKN1B/CREB1/CREBBP/CSNK1A1/CTNNB1/CUX1/DKK1/EGFR/ESR1/ESR2/FGF1/FGF2/FN1/FOXO3/FYN/GAB2/GSK3A/GSK3B/HDAC9/HGF/HSP90AA1/IRS1/IRS2/KDR/KITLG/MAMLD1/MAPK1/MAPK3/MTOR/MYC/NCSTN/NOTCH1/NRG1/PSEN1/PSEN2/PSENEN/PTEN/RAF1/SMAD3/STAT3/SYVN1/TGFB1/UBB/VCP",52,"ALZHEIMER DISEASE",4,"Signal transduction upon growth factor stimulation"
"nrif signals cell death from the nucleus","nrif signals cell death from the nucleus","10/564","16/10821",8.24887509176312e-10,8.38085709323133e-08,6.10416756790471e-08,"APH1A/MAPK8/NCSTN/NGF/NGFR/PSEN1/PSEN2/PSENEN/SQSTM1/UBB",10,"ALZHEIMER DISEASE",10,"NOTCH and FOXO mediated gene expression"
"amyloid fiber formation","amyloid fiber formation","24/564","109/10821",1.27234039017641e-09,1.17517985129021e-07,8.55938080664132e-08,"ADAM10/APCS/APH1A/APOA1/APOA4/APP/BACE1/CALB1/CST3/GGA3/GSN/HSPG2/IAPP/INS/ITM2B/LTF/LYZ/MFGE8/NCSTN/PSENEN/SNCA/SORL1/TTR/UBB",24,"ALZHEIMER DISEASE",10,"NOTCH and FOXO mediated gene expression"
"platelet activation signaling and aggregation","platelet activation signaling and aggregation","39/564","261/10821",2.15206518644398e-09,1.8220818578559e-07,1.32710686497379e-07,"A2M/AKT1/ALB/ANXA5/APLP2/APOA1/APP/ARRB1/CD36/CLU/F2/FAM3C/FN1/FYN/HGF/HSPA5/IGF1/KNG1/MAPK1/MAPK14/MAPK3/MGLL/PLA2G4A/PLG/PRKCD/PRKCZ/RAF1/RHOA/SERPINA3/SERPINE1/SERPINF2/SOD1/TF/TGFB1/THBS1/TIMP1/VEGFA/VEGFB/YWHAZ",39,"ALZHEIMER DISEASE",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"gpcr ligand binding","gpcr ligand binding","56/564","463/10821",2.42667594558277e-09,1.89654058516315e-07,1.38133861517789e-07,"POMC/ADCYAP1/ADM/ADRB2/AGTR1/AGT/APP/AVP/C5/CASR/CCL2/CCL3/CCL5/CCR2/CCR5/CCR6/CD55/CHRM1/CNR1/CRH/CRHBP/CRHR1/CX3CL1/CX3CR1/CXCL10/CXCR2/ECE1/EDN1/F2/FPR2/GCG/GHRH/GIP/GRM2/GRM5/HCRT/HTR1F/HTR2A/HTR2C/HTR4/HTR6/HTR7/IAPP/CXCL8/KNG1/LHCGR/NPY/NTS/PTGER2/S1PR1/SST/SSTR1/SSTR4/TAC1/TRH/VIP",56,"ALZHEIMER DISEASE",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"plasma lipoprotein clearance","plasma lipoprotein clearance","13/564","33/10821",3.99531571585899e-09,2.89945769093766e-07,2.11180973552546e-07,"APOA1/APOB/APOC1/APOE/LDLR/LIPA/LIPC/NPC1/NR1H2/PCSK9/SCARB1/SOAT1/VLDLR",13,"ALZHEIMER DISEASE",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"intrinsic pathway for apoptosis","intrinsic pathway for apoptosis","16/564","53/10821",5.89926109096138e-09,3.99576617894451e-07,2.91030213820761e-07,"AKT1/BAX/BCL2/BCL2L1/CASP3/CASP8/CASP9/CDKN2A/CYCS/MAPK1/MAPK3/MAPK8/STAT3/TP53/TP73/YWHAZ",16,"ALZHEIMER DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"notch4 activation and transmission of signal to the nucleus","notch4 activation and transmission of signal to the nucleus","8/564","11/10821",7.44943202214896e-09,4.45213113794314e-07,3.24269393905308e-07,"ADAM10/APH1A/NCSTN/NOTCH4/PSEN1/PSEN2/PSENEN/YWHAZ",8,"ALZHEIMER DISEASE",10,"NOTCH and FOXO mediated gene expression"
"regulated proteolysis of p75ntr","regulated proteolysis of p75ntr","8/564","11/10821",7.44943202214896e-09,4.45213113794314e-07,3.24269393905308e-07,"APH1A/NCSTN/NFKB1/RELA/NGFR/PSEN1/PSEN2/PSENEN",8,"ALZHEIMER DISEASE",10,"NOTCH and FOXO mediated gene expression"
"diseases of programmed cell death","diseases of programmed cell death","11/564","24/10821",9.40320435063232e-09,5.30758645569024e-07,3.86576178859329e-07,"APP/CAPN2/CAST/CDC25C/CDK5/CDK5R1/CDKN2A/FASLG/FOXO3/JUN/SOD2",11,"ALZHEIMER DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"death receptor signalling","death receptor signalling","26/564","141/10821",1.41323045424137e-08,7.55706390268015e-07,5.50416071651901e-07,"APH1A/CASP2/CASP3/CASP8/FAS/FASLG/KALRN/MAPK8/NCSTN/NFKB1/RELA/NGF/NGFR/PSEN1/PSEN2/PSENEN/RHOA/RIPK1/RTN4/RTN4R/SQSTM1/TNF/TNFRSF10A/TNFRSF1A/TNFSF10/UBB",26,"ALZHEIMER DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"inflammasomes","inflammasomes","10/564","20/10821",1.5732868830035e-08,7.61171177681691e-07,5.54396330201232e-07,"APP/BCL2/BCL2L1/CASP1/NFKB1/NFKB2/RELA/NLRP1/NLRP3/P2RX7",10,"ALZHEIMER DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"toll like receptor cascades","toll like receptor cascades","27/564","153/10821",1.9792051802477e-08,9.1403293778712e-07,6.65732651537863e-07,"APOB/APP/CASP8/CD14/CD36/CREB1/CTSB/FOS/HMGB1/JUN/LGMN/MAPK1/MAPK10/MAPK14/MAPK3/MAPK8/NFKB1/NFKB2/RELA/PTPN4/RIPK1/S100A12/S100A9/S100B/TLR2/TLR4/UBB",27,"ALZHEIMER DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"peptide hormone metabolism","peptide hormone metabolism","20/564","90/10821",2.59994179983657e-08,1.1196791643021e-06,8.15514351952318e-07,"ACE/ACHE/POMC/AGT/BCHE/AOPEP/CES1/CPB1/CTNNB1/CTSD/CTSG/ENPEP/GCG/GH1/GIP/IGF1/INS/LEP/MME/PLA2G7",20,"ALZHEIMER DISEASE",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"caspase activation via extrinsic apoptotic signalling pathway","caspase activation via extrinsic apoptotic signalling pathway","11/564","26/10821",2.64491141173725e-08,1.1196791643021e-06,8.15514351952318e-07,"CASP3/CASP8/CASP9/CD14/DAPK1/FAS/FASLG/RIPK1/TLR4/TNFRSF10A/TNFSF10",11,"ALZHEIMER DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"foxo mediated transcription","foxo mediated transcription","17/564","66/10821",2.81190776648733e-08,1.14275931630045e-06,8.3232469888025e-07,"POMC/AKT1/CAV1/CDKN1A/CDKN1B/CREBBP/FASLG/FOXO3/INS/NPY/NR3C1/PPARGC1A/SIRT1/SIRT3/SMAD3/SOD2/YWHAZ",17,"ALZHEIMER DISEASE",10,"NOTCH and FOXO mediated gene expression"
"cellular response to heat stress","cellular response to heat stress","21/564","101/10821",4.0410638341871e-08,1.57912340597465e-06,1.15014893742248e-06,"CREBBP/CRYAB/EEF1A1/FKBP4/GSK3B/HSF1/HSP90AA1/HSPA1A/HSPA4/HSPA5/HSPA8/HSPA9/HSPB1/HSPB2/MAPK1/MAPK3/MTOR/SIRT1/TNFRSF21/UBB/VCP",21,"ALZHEIMER DISEASE",5,"Response to stress: autophagy, mitophagy, heatshock response"
"infection with mycobacterium tuberculosis","infection with mycobacterium tuberculosis","11/564","27/10821",4.25485622946606e-08,1.6010866404213e-06,1.16614578140922e-06,"CTSG/ENO1/GSK3A/LTF/MAPK1/MAPK3/NOS2/RAB5A/RAB7A/TLR2/UBB",11,"ALZHEIMER DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"pi3k akt signaling in cancer","pi3k akt signaling in cancer","21/564","102/10821",4.84525245902742e-08,1.75813446370424e-06,1.28053100702868e-06,"AKT1/CASP9/CDKN1A/CDKN1B/CREB1/EGFR/ESR1/ESR2/FGF1/FGF2/FOXO3/FYN/GSK3A/GSK3B/HGF/IRS1/IRS2/KITLG/MTOR/NRG1/PTEN",21,"ALZHEIMER DISEASE",4,"Signal transduction upon growth factor stimulation"
"nucleotide binding domain leucine rich repeat containing receptor nlr signaling pathways","nucleotide binding domain leucine rich repeat containing receptor nlr signaling pathways","15/564","55/10821",8.08553787750285e-08,2.73830216118097e-06,1.9944326764507e-06,"APP/BCL2/BCL2L1/CASP1/CASP2/CASP8/CASP9/MAPK14/NFKB1/NFKB2/RELA/NLRP1/NLRP3/P2RX7/UBB",15,"ALZHEIMER DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"metabolism of angiotensinogen to angiotensins","metabolism of angiotensinogen to angiotensins","9/564","18/10821",8.49061993143367e-08,2.782732209786e-06,2.02679314492288e-06,"ACE/AGT/AOPEP/CES1/CPB1/CTSD/CTSG/ENPEP/MME",9,"ALZHEIMER DISEASE",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
