"edge","Source","Target","year","count","pvalue","p.adjust","geneID","Count","logpadj","logpval","class_source","class_target","comparison","between","sim_paper"
"ALZHEIMER DISEASE_MALARIA","ALZHEIMER DISEASE","MALARIA",2018,10,5.12837684785204e-09,1.64097459857153e-08,"ACHE/AGTR1/AKT1/ALB/ANGIOTENSIN II/APOA1/APOE/BDNF/CASP1/CCL2/CCL5/CCR5/CD2AP/CD36/CD40/CD40LG/CD55/CFH/CHI3L1/CR1/CRP/CSF2/CSF3/CX3CL1/CXCL10/EDN1/EPO/FASLG/FCGR2B/FOXO3/FYN/GAPDH/GPI/GSR/HGF/HIF1A/HLA-DRB4/HMGB1/HMOX1/HP/HPGDS/HSP90AA1/HSP90B2P/HSPA4/ICAM1/IDH1/IFNA1/IFNB1/IFNG/IGF1/IGHM/IL1/IL10/IL12/IL1B/IL2/IL33/IL4/IL6/IL8/INS/KDR/LEP/LGALS3/LYZ/MBL2/MIF/MMP9/MTOR/NFE2L2/NF-KB/NLRP3/NOS2/NTS/PDCD1/PDIK1L/PPARG/PROC/SCARB1/STAT3/STH/SUPEROXIDE DISMUTASE/TF/TFPI/TGFB1/TLR2/TLR4/TNF/TNFRSF1A/TP53/VEGFA",91,17.9253904112016,19.0884766317575,"PSYCHIATRIC","INFECTIOUS","between_classes","PSYCHIATRIC_vs_INFECTIOUS",1.7353160574325
"ALZHEIMER DISEASE_PSORIASIS","ALZHEIMER DISEASE","PSORIASIS",2018,7,1.92401770072559e-15,1.92401770072559e-14,"ACE/ACTH/ADIPOQ/AKT1/ALB/ALOX5/APOE/ATP6V0A4/BCL2/BDNF/CAV1/CCL2/CCL5/CCR2/CCR5/CCR6/CD40LG/CDKN2A/CHI3L1/COMT/CP/CRH/CRHR1/CRP/CSF2/CTGF/CTNNB1/CX3CR1/CXCL10/CXCR2/DYT10/EDN1/EGFR/ELANE/ENPEP/FAS/FASLG/FLVCR1/GCG/GH1/GRN/HDAC/HIF1A/HLA-DRB4/HMGB1/HMOX1/HP/HPGDS/ICAM1/IFNA1/IFNB1/IFNG/IGF1/IGF1R/IL1/IL10/IL12/IL1A/IL1B/IL1RN/IL2/IL23A/IL33/IL4/IL6/IL8/JUN/KDR/KLK6/LCN2/LEP/LEPR/MAPK3/MIF/MIR146A/MIR155/MMP9/MPO/MSX2/MTHFR/MTOR/NFE2L2/NF-KB/NFKB1/NGF/NOS2/NOTCH1/NTRK1/PDC/PDCD1/PLA2G1B/PLAT/PLG/PPARA/PPARG/PTGS2/RPSA/S100A12/S100A9/S100B/SELE/SERPINE1/SIRT1/SPP1/SST/STAT3/SUBSTANCE P/SUPEROXIDE DISMUTASE/TGFB1/TLR2/TLR4/TNF/TNFRSF1A/TP53/TREM1/TYK2/VDR/VEGFA/VIP",119,31.5817757497541,33.8843608427482,"PSYCHIATRIC","INFLAMMATORY","between_classes","PSYCHIATRIC_vs_INFLAMMATORY",4.23554510534352
"ALZHEIMER DISEASE_RESPIRATORY SYNCYTIAL VIRUS INFECTION","ALZHEIMER DISEASE","RESPIRATORY SYNCYTIAL VIRUS INFECTION",2018,2,3.1633791069027e-10,1.23020298601772e-09,"CASP1/CCL2/CCL3/CCL5/CX3CR1/CXCL10/EIF2AK2/FAS/ICAM1/IFNA1/IFNB1/IFNG/IL10/IL12/IL1B/IL2/IL33/IL4/IL6/IL8/LTF/MMP9/MPO/NFE2L2/NF-KB/NFKB1/NGF/NLRP3/NR3C1/PDCD1/RHOA/S100A9/SMAD3/SPP1/SUBSTANCE P/TGFB1/TLR4/TNF",38,20.5160866518952,21.8742101360484,"PSYCHIATRIC","INFECTIOUS","between_classes","PSYCHIATRIC_vs_INFECTIOUS",7.29140337868281
"ALZHEIMER DISEASE_SCLERODERMA","ALZHEIMER DISEASE","SCLERODERMA",2018,1,1.52200385137049e-14,1.33175336994918e-13,"ACE/ADIPOQ/AGTR1/ALB/ANGIOTENSIN II/BCL2/BDNF/CAV1/CCL2/CCL3/CCL5/CCR2/CD14/CD40/CD40LG/CDK5/CEBPZ/CRP/CSF3/CTGF/CTNNB1/CTSG/CXCL10/DKK1/EDN1/EGFR/EGR1/EPHB2/ESR1/F2/FAS/FGF2/FN1/HGF/HLA-DRB4/HP/HTR2A/ICAM1/IFNA1/IFNG/IL1/IL10/IL12/IL1A/IL1RN/IL2/IL33/IL4/IL6/IL8/KDR/KITLG/LGALS3/LSM2/MAPK1/MAPK3/MAPK8/MBL2/MIF/MIR155/MMP3/MMP9/MPO/MSC/NCAM1/NF-KB/NGF/NOTCH4/PARP1/PPARG/PPP2R4/SERPINE1/SERPINE2/SERPINF2/SIRT1/SMAD3/SP1/SPP1/STAT3/TGFB1/THBS1/TIMP1/TLR4/TNF/VEGFA",85,29.647109811644,31.8161635120135,"PSYCHIATRIC","INFLAMMATORY","between_classes","PSYCHIATRIC_vs_INFLAMMATORY",15.9080817560068
"ALZHEIMER DISEASE_SYSTEMIC LUPUS ERYTHEMATOSUS","ALZHEIMER DISEASE","SYSTEMIC LUPUS ERYTHEMATOSUS",2018,22,1.97974594242117e-18,2.77164431938963e-17,"A2M/ABCB1/ACE/ACTB/ACTH/ADIPOQ/ADM/ALB/ANXA5/APOA1/AQP4/AVP/BCL2/BDNF/C9ORF3/CCL2/CCR5/CCR6/CD14/CD200/CD40/CD40LG/CD44/CD74/CDKN1A/CDR1/CFH/CHI3L1/CLU/CR1/CRP/CSF3/CST3/CXCL10/CYP2D6/DKK1/EPO/ESR1/F2/FAS/FASLG/FCGR2B/FGF2/FN1/GH1/GPI/GRN/GSTM1/HGF/HISTONE H1/HLA-DRB4/HMGB1/HSP90AA1/HSPA4/ICAM1/IFNA1/IFNG/IGF1/IGHM/IL1/IL10/IL12/IL1B/IL1RN/IL2/IL23A/IL33/IL34/IL4/IL6/IL6R/IL8/LCN2/LEP/LEPR/LGALS3/LPL/LRP1/LSM2/LTF/MAPK8/MBL2/MBP/MFGE8/MIF/MIR146A/MIR155/MMP3/MMP9/MPO/MSC/MTHFR/MTOR/MX1/NCAM1/NF-KB/NFKB1/NGF/NLRP3/NOS3/NR3C1/NTRK1/PARP1/PDCD1/PIN1/PLA2G7/PLAT/PLG/PON1/PPARG/PRKCD/PROC/PTEN/PTK2B/PTPRC/SERPINE1/SIRT1/SLC6A4/SPP1/STAT3/SUPEROXIDE DISMUTASE/TF/TFPI/TGFB1/TGM2/TLR2/TLR4/TNF/TNFRSF10A/TNFRSF1A/TNFSF10/TP53/TYK2/TYROBP/VDR/VEGFA/ZFP36",137,38.1245058197123,40.7635631493276,"PSYCHIATRIC","INFLAMMATORY","between_classes","PSYCHIATRIC_vs_INFLAMMATORY",1.77232883257946
"ANKYLOSING SPONDYLARTHRITIDES_AMERICAN TRYPANOSOMIASIS","ANKYLOSING SPONDYLARTHRITIDES","AMERICAN TRYPANOSOMIASIS",2018,1,9.20954603884061e-10,3.39299064588865e-09,"CCR7/HP/IL10/IL17A/IL18/IL23A/IL2RA/IL6/MBL2/NFATC1/TGFB1/TNF",12,19.5015541080333,20.8056103709162,"INFLAMMATORY","INFECTIOUS","between_classes","INFLAMMATORY_vs_INFECTIOUS",10.4028051854581
"ANKYLOSING SPONDYLARTHRITIDES_FUNGUS DISEASE","ANKYLOSING SPONDYLARTHRITIDES","FUNGUS DISEASE",2018,58,4.02844192538136e-10,1.73646903253393e-09,"CD79A/CSF2/IL1/IL10/IL17A/IL1B/IL23A/IL2RA/IL33/IL6/SOCS1/TLR4/TNF",13,20.1714120771692,21.6324712477503,"INFLAMMATORY","INFECTIOUS","between_classes","INFLAMMATORY_vs_INFECTIOUS",0.366652055046616
"ANKYLOSING SPONDYLARTHRITIDES_HELICOBACTER PYLORI INFECTION","ANKYLOSING SPONDYLARTHRITIDES","HELICOBACTER PYLORI INFECTION",2018,4,1.38222832630422e-09,4.83779914206477e-09,"AHSG/CD79A/CRP/IL10/IL17A/IL1B/IL23A/IL2RA/IL33/IL6/MBL2/MMP3/TLR4/TNF/VEGFA",15,19.1468059423495,20.3995689108449,"INFLAMMATORY","INFECTIOUS","between_classes","INFLAMMATORY_vs_INFECTIOUS",4.07991378216897
"ANKYLOSING SPONDYLARTHRITIDES_HEPATITIS B","ANKYLOSING SPONDYLARTHRITIDES","HEPATITIS B",2018,12,3.14759793847813e-13,2.00301686994063e-12,"B2M/CD163/CD79A/CP/CRP/CSF2/DPEP1/ESR1/GDF15/HLA-C/HLA-DRB4/HLA-E/HMGB1/HP/HSPD1/IGAN/IL1/IL10/IL17A/IL17RA/IL18/IL1B/IL23A/IL23R/IL2RA/IL33/IL6/KIR3DL1/MBL2/MIR146A/MS4A1/MSC/PDCD1/TGFB1/TLR4/TNF/TNFRSF10B/VEGFA",38,26.9363666369435,28.7869666061945,"INFLAMMATORY","INFECTIOUS","between_classes","INFLAMMATORY_vs_INFECTIOUS",2.21438204663035
"ANKYLOSING SPONDYLARTHRITIDES_MALARIA","ANKYLOSING SPONDYLARTHRITIDES","MALARIA",2018,4,2.97624172208282e-12,1.60259169650613e-11,"CASP1/CD163/CD40LG/CRP/CSF2/EDN1/HLA-B/HLA-C/HLA-DRB4/HLA-E/HMGB1/HP/IL1/IL10/IL17A/IL18/IL1B/IL2RA/IL33/IL6/KIR3DL1/LEP/MBL2/MS4A1/PDCD1/RNASE3/TGFB1/TLR4/TNF/TNFRSF11B/VEGFA",31,24.8568138938502,26.540359778438,"INFLAMMATORY","INFECTIOUS","between_classes","INFLAMMATORY_vs_INFECTIOUS",5.30807195568761
"ANXIETY DISORDER_ACTIVE RHEUMATIC FEVER","ANXIETY DISORDER","ACTIVE RHEUMATIC FEVER",2018,85,0.0025367380943206,0.0202939047545648,"CRP/TNF",2,3.8974346964168,5.97687623809663,"PSYCHIATRIC","INFLAMMATORY","between_classes","PSYCHIATRIC_vs_INFLAMMATORY",0.0694985609081004
"ANXIETY DISORDER_AGE RELATED OSTEOPOROSIS","ANXIETY DISORDER","AGE RELATED OSTEOPOROSIS",2018,25,0.0182965407168103,0.0900752773750661,"CRH/CRP/FGF2/NPY/TNF",5,2.40710954297369,4.00104326887183,"PSYCHIATRIC","INFLAMMATORY","between_classes","PSYCHIATRIC_vs_INFLAMMATORY",0.153886279571993
"ANXIETY DISORDER_AORTIC ARCH SYNDROME","ANXIETY DISORDER","AORTIC ARCH SYNDROME",2018,1,0.00577784732772909,0.038548643674997,"CRP/TNF",2,3.25583436311972,5.15372410031781,"PSYCHIATRIC","INFLAMMATORY","between_classes","PSYCHIATRIC_vs_INFLAMMATORY",2.5768620501589
"ANXIETY DISORDER_BRUCELLOSIS","ANXIETY DISORDER","BRUCELLOSIS",2018,11,0.117831640312226,0.295209185497718,"TNF",1,1.22007107055524,2.13849845034703,"PSYCHIATRIC","INFECTIOUS","between_classes","PSYCHIATRIC_vs_INFECTIOUS",0.178208204195586
"ANXIETY DISORDER_DISEASE DUE TO TRICHOMONADIDAE","ANXIETY DISORDER","DISEASE DUE TO TRICHOMONADIDAE",2018,2,0.117831640312226,0.295209185497718,"TNF",1,1.22007107055524,2.13849845034703,"PSYCHIATRIC","INFECTIOUS","between_classes","PSYCHIATRIC_vs_INFECTIOUS",0.712832816782343
"ANXIETY DISORDER_FIBROMYALGIA","ANXIETY DISORDER","FIBROMYALGIA",2018,106,4.68955467587891e-12,1.00043833085417e-10,"BDNF/COMT/CRH/CRP/HPSE/NPY/SLC6A4/TNF",8,23.0254126951252,26.0856834898168,"PSYCHIATRIC","INFLAMMATORY","between_classes","PSYCHIATRIC_vs_INFLAMMATORY",0.243791434484269
"ANXIETY DISORDER_HYDROPHOBIA","ANXIETY DISORDER","HYDROPHOBIA",2018,2,0.00893055280099801,0.0519595799330793,"BDNF/HPSE/TNF",3,2.95728917164122,4.71827698220252,"PSYCHIATRIC","INFECTIOUS","between_classes","PSYCHIATRIC_vs_INFECTIOUS",1.57275899406751
"ANXIETY DISORDER_YERSINIA INFECTION","ANXIETY DISORDER","YERSINIA INFECTION",2018,1,0.0854630936208061,0.287875683775347,"CRP/TNF",2,1.24522654559323,2.45967064978646,"PSYCHIATRIC","INFECTIOUS","between_classes","PSYCHIATRIC_vs_INFECTIOUS",1.22983532489323
"ARTHRITIS_HEPATITIS B","ARTHRITIS","HEPATITIS B",2018,286,2.26916613731627e-25,1.44401481465581e-24,"ADA/AIM2/AKT1/ALB/ANXA2/APOE/B2M/BCL2/BCL2L11/BIRC5/CALR/CCL2/CCL5/CCR5/CD14/CD274/CD28/CD38/CD79A/CD80/CDKN1A/CRP/CSF2/CTGF/CTHRC1/CTLA4/CXCL10/CXCR5/DPEP1/ELANE/ENPP2/EPO/ESR1/EVA1C/F2/F3/FAS/FASLG/FN1/FOXP3/GAPDH/GGTLC1/GH1/GSK3B/HLA-DRB1/HLA-DRB4/HLA-E/HMGB1/HMOX1/HP/HSPA4/HSPA5/HSPD1/ICAM1/IDO1/IFNA1/IFNB1/IFNG/IGHM/IL1/IL10/IL12/IL15/IL17A/IL17D/IL17RA/IL18/IL1B/IL2/IL21/IL22/IL23A/IL2RA/IL32/IL33/IL34/IL4/IL6/IL6R/IL7/IL7R/IL8/JUN/KLRK1/LGALS9/MAP3K7/MAPK8/MIF/MIR146A/MIR155/MMP9/MS4A1/MSC/MST1/MYD88/NF-KB/NFKB1/NOS2/NOTCH1/PARP1/PDCD1/PPARG/PTEN/PTGS2/PTH/PYCARD/SERPINA1/SIRT1/SOCS3/SPHK1/SPP1/SST/STAT1/STAT3/STEAP4/SUPEROXIDE DISMUTASE/TBX21/TCIRG1/TGFB1/THY1/TLR2/TLR3/TLR4/TLR7/TLR9/TNF/TNFAIP3/TP53/UBIQUITIN/VEGFA",130,54.8946149319822,56.7452149012331,"INFLAMMATORY","INFECTIOUS","between_classes","INFLAMMATORY_vs_INFECTIOUS",0.197718518819628
"ARTHRITIS_HUMAN FLU","ARTHRITIS","HUMAN FLU",2018,140,4.99713798618151e-36,3.88666287814117e-35,"ADAMTS5/ADAMTS7/AKT1/ALB/B2M/B3GAT1/BCL2/BCR/C3/C5AR1/CALR/CASP1/CAT/CCL2/CCL3/CCL5/CCR2/CCR5/CD274/CD28/CD4/CD40/CD40LG/CD69/CD79A/CD80/CD86/CLEC7A/CR1/CRP/CSF2/CSF3/CXCL10/CXCR2/CXCR3/CXCR5/CYBB/CYCS/DLL1/DPP4/F2/F2RL1/F3/FAP/FAS/FASLG/FLT1/FN1/FOXP3/GPI/HLA-E/HMGB1/HMOX1/HP/HSPA4/ICAM1/ICOS/IDO1/IFNA1/IFNB1/IFNG/IGHG1/IGHM/IL1/IL10/IL12/IL13/IL15/IL17A/IL17RA/IL18/IL1B/IL1R1/IL2/IL21/IL22/IL27/IL2RA/IL32/IL33/IL4/IL5/IL6/IL7/IL8/ITGAM/ITGAX/JUN/KLRK1/LTB/MAP2K7/MAPK14/MAPK8/MIP/MIR155/MMP9/MPO/MRAP/MSC/MT1JP/MYD88/NELFCD/NFE2L2/NF-KB/NFKB1/NLRP3/NOD2/NOS2/PADI4/PDCD1/PI3/PLG/PPARG/PTGS2/PYCARD/RIPK3/S1PR1/SERPINA5/SH2B2/SPHK1/SPP1/ST2/STAT1/STAT3/SUPEROXIDE DISMUTASE/TBX21/TCIRG1/TEK/TGFB1/TLR2/TLR3/TLR4/TLR7/TLR9/TNF/TNFAIP3/TNFRSF18/TNFRSF4/TNFRSF9/TP53/TRAF6/TSLP/TXN/UBIQUITIN",144,79.2329273372871,81.2841980020003,"INFLAMMATORY","INFECTIOUS","between_classes","INFLAMMATORY_vs_INFECTIOUS",0.576483673773051
"ARTHRITIS_LEISHMANIASES","ARTHRITIS","LEISHMANIASES",2018,86,5.0904519049287e-22,2.54522595246435e-21,"CD40/CD40LG/CD79A/CLEC7A/CSF2/CTLA4/F3/FASLG/FOXP3/HIF1A/IFNB1/IFNG/IGF1/IL1/IL10/IL12/IL13/IL17A/IL18/IL1B/IL2/IL2RA/IL32/IL4/IL6/JUN/MIF/NF-KB/NOS2/P2RX7/PDCD1/PDLIM4/SLC11A1/TLR2/TLR3/TNF/TNFRSF4",37,47.4200675239198,49.0295054363539,"INFLAMMATORY","INFECTIOUS","between_classes","INFLAMMATORY_vs_INFECTIOUS",0.563557533751194
"ARTHRITIS_MALARIA","ARTHRITIS","MALARIA",2018,77,3.85534514163597e-37,3.85534514163597e-36,"ADA/ADAM17/AKT1/ALB/ANGPT1/ANGPT2/APOE/BSG/C3/C5AR1/CASP1/CAT/CCL2/CCL5/CCR1/CCR5/CD274/CD40/CD40LG/CD55/CFP/CHI3L1/CR1/CRP/CSF2/CSF3/CTLA4/CX3CL1/CXCL10/CYP27A1/EDN1/EPO/F3/FASLG/FCGR1A/FCGR2A/FCGR2B/FLT1/FLT3LG/FOXO3/FOXP3/GAPDH/GPI/HIF1A/HLA-DRB1/HLA-DRB4/HLA-E/HMGB1/HMOX1/HP/HSP90B2P/HSPA4/ICAM1/ICOS/IFNA1/IFNB1/IFNG/IGF1/IGHG1/IGHM/IL1/IL10/IL12/IL13/IL15/IL17A/IL17C/IL17D/IL18/IL1B/IL2/IL22/IL27/IL2RA/IL33/IL4/IL6/IL8/ITGAM/ITGAX/KDR/KIAA0101/LEP/LGALS3/LGALS9/LYZ/MIF/MIP/MMP9/MS4A1/NFE2L2/NF-KB/NLRP3/NOS2/PDCD1/PLAUR/PPARG/PRL/PYCARD/RBM45/SELP/SERPINA1/SERPINA4/STAT3/SUPEROXIDE DISMUTASE/SYK/TBX21/TEK/TGFB1/TLR2/TLR3/TLR4/TLR9/TNF/TNFRSF11B/TNFRSF1A/TNFRSF1B/TNFSF13B/TP53/TRPV1/TXN/VEGFA",122,81.5436028138737,83.8461879068678,"INFLAMMATORY","INFECTIOUS","between_classes","INFLAMMATORY_vs_INFECTIOUS",1.07495112701113
