"Source","Target","degree"
"NOD1","inflammatory",2
"NOTCH1","inflammatory",2
"NOTCH4","inflammatory",2
"NOX4","inflammatory",2
"NPY","inflammatory",2
"NR2C2","inflammatory",2
"NR3C1","inflammatory",2
"NR4A2","inflammatory",2
"NRP1","inflammatory",2
"NT5C2","inflammatory",2
"NTRK1","inflammatory",2
"OSM","inflammatory",2
"PADI4","inflammatory",2
"PCNA","inflammatory",2
"PF4","inflammatory",2
"PGF","inflammatory",2
"PGLYRP2","inflammatory",2
"PI3","inflammatory",2
"PLAT","inflammatory",2
"PLAUR","inflammatory",2
"PON1","inflammatory",2
"POSTN","inflammatory",2
"PPBP","inflammatory",2
"PRS","inflammatory",2
"PTEN","inflammatory",2
"PTGS1","inflammatory",2
"PTK2B","inflammatory",2
"PTN","inflammatory",2
"RABEPK","inflammatory",2
"RAG2","inflammatory",2
"RARRES2","inflammatory",2
"RPSA","inflammatory",2
"RUNX3","inflammatory",2
"S100B","inflammatory",2
"S1PR1","inflammatory",2
"SEMA4A","inflammatory",2
"SEMA4D","inflammatory",2
"SERPINB3","inflammatory",2
"SERPINF2","inflammatory",2
"SLC6A4","inflammatory",2
"SMAD1","inflammatory",2
"SMAD7","inflammatory",2
"SNRNP70","inflammatory",2
"SP1","inflammatory",2
"SP7","inflammatory",2
"STAT6","inflammatory",2
"TBC1D9","inflammatory",2
"TEK","inflammatory",2
"TF","inflammatory",2
"TFPI","inflammatory",2
"TGFB2","inflammatory",2
"TGFBR1","inflammatory",2
"THY1","inflammatory",2
"TIE1","inflammatory",2
"TIMD4","inflammatory",2
"TIMP2","inflammatory",2
"TIMP3","inflammatory",2
"TLR8","inflammatory",2
"TNFRSF10B","inflammatory",2
"TNFRSF12A","inflammatory",2
"TNFRSF13B","inflammatory",2
"TNFRSF4","inflammatory",2
"TNFRSF6B","inflammatory",2
"TNFRSF9","inflammatory",2
"TNFSF10","inflammatory",2
"TNFSF4","inflammatory",2
"TNNI3","inflammatory",2
"TREM1","inflammatory",2
"TREX1","inflammatory",2
"TRIB3","inflammatory",2
"TRIM68","inflammatory",2
"TROVE2","inflammatory",2
"TSLP","inflammatory",2
"TXN","inflammatory",2
"UBIQUITIN","inflammatory",2
"VIM","inflammatory",2
"WAS","inflammatory",2
"WNT5A","inflammatory",2
"XBP1","inflammatory",2
"ZFP36","inflammatory",2
"A2M","inflammatory",1
"ABCA1","inflammatory",1
"ABCD1","inflammatory",1
"ACACA","inflammatory",1
"ACAN","inflammatory",1
"ACAT2","inflammatory",1
"ACKR2","inflammatory",1
"ACLY","inflammatory",1
"ACO1","inflammatory",1
"ACP1","inflammatory",1
"ACSM3","inflammatory",1
"ACTA2","inflammatory",1
"ACTB","inflammatory",1
"ADAM23","inflammatory",1
"ADAM33","inflammatory",1
"ADAMTS12","inflammatory",1
"ADAMTS13","inflammatory",1
"ADAMTS4","inflammatory",1
"ADAMTS5","inflammatory",1
"ADAMTSL5","inflammatory",1
"ADAR","inflammatory",1
"ADCY1","inflammatory",1
"ADCYAP1","inflammatory",1
"ADORA2A","inflammatory",1
"ADRB2","inflammatory",1
"ADRBK1","inflammatory",1
"AFF1","inflammatory",1
"AFP","inflammatory",1
"AICDA","inflammatory",1
"AIM2","inflammatory",1
"AIS","inflammatory",1
"AKR1B10","inflammatory",1
"ALDH2","inflammatory",1
"ALOX12","inflammatory",1
"ALPI","inflammatory",1
"ALPL","inflammatory",1
"AMIGO2","inflammatory",1
"ANG","inflammatory",1
"ANGPTL6","inflammatory",1
"ANKH","inflammatory",1
"ANPEP","inflammatory",1
"ANTXR2","inflammatory",1
"ANXA11","inflammatory",1
"APOB","inflammatory",1
"APOL1","inflammatory",1
"APOM","inflammatory",1
"APTX","inflammatory",1
"AQP1","inflammatory",1
"AQP3","inflammatory",1
"AQP5","inflammatory",1
"AR","inflammatory",1
"AREG","inflammatory",1
"ARG1","inflammatory",1
"ARSD","inflammatory",1
"ARTN","inflammatory",1
"ASPG","inflammatory",1
"ATP6V0A4","inflammatory",1
"ATP6V1H","inflammatory",1
"B3GAT1","inflammatory",1
"BANK1","inflammatory",1
"BAX","inflammatory",1
"BCKDHA","inflammatory",1
"BCL2L1","inflammatory",1
"BCL2L11","inflammatory",1
"BDKRB1","inflammatory",1
"BECN1","inflammatory",1
"BIRC5","inflammatory",1
"BMI1","inflammatory",1
"BMP3","inflammatory",1
"BMP6","inflammatory",1
"BP1","inflammatory",1
"BPI","inflammatory",1
"BPIFA2","inflammatory",1
"BTLA","inflammatory",1
"BTNL2","inflammatory",1
"BW52","inflammatory",1
"C10ORF54","inflammatory",1
"C10ORF67","inflammatory",1
"C18ORF8","inflammatory",1
"C1QTNF6","inflammatory",1
"C1R","inflammatory",1
"C1S","inflammatory",1
"C2","inflammatory",1
"C3AR1","inflammatory",1
"C4A","inflammatory",1
"C4B","inflammatory",1
"C9ORF3","inflammatory",1
"CA2","inflammatory",1
"CA5A","inflammatory",1
"CALCR","inflammatory",1
"CARD14","inflammatory",1
"CARD8","inflammatory",1
"CARD9","inflammatory",1
"CARS","inflammatory",1
"CARS2","inflammatory",1
"CASP10","inflammatory",1
"CASP14","inflammatory",1
"CASR","inflammatory",1
"CBS","inflammatory",1
"CCDC183","inflammatory",1
"CCHCR1","inflammatory",1
"CCL13","inflammatory",1
"CCL16","inflammatory",1
"CCL18","inflammatory",1
"CCL19","inflammatory",1
"CCL26","inflammatory",1
"CCL7","inflammatory",1
"CCND1","inflammatory",1
"CCR10","inflammatory",1
"CCT4","inflammatory",1
"CD180","inflammatory",1
"CD1A","inflammatory",1
"CD1C","inflammatory",1
"CD1D","inflammatory",1
"CD200","inflammatory",1
"CD209","inflammatory",1
"CD226","inflammatory",1
"CD24","inflammatory",1
"CD248","inflammatory",1
"CD27","inflammatory",1
"CD276","inflammatory",1
"CD34","inflammatory",1
"CD38","inflammatory",1
"CD5","inflammatory",1
"CD55","inflammatory",1
"CD6","inflammatory",1
"CD68","inflammatory",1
"CD70","inflammatory",1
"CD72","inflammatory",1
"CD74","inflammatory",1
"CD83","inflammatory",1
"CD97","inflammatory",1
"CDH11","inflammatory",1
"CDK5","inflammatory",1
"CDK5R1","inflammatory",1
"CDK5R2","inflammatory",1
"CDKN2A","inflammatory",1
"CDR1","inflammatory",1
"CDSN","inflammatory",1
"CDX2","inflammatory",1
"CEACAM1","inflammatory",1
"CEACAM6","inflammatory",1
"CEBPZ","inflammatory",1
"CEL","inflammatory",1
"CENPA","inflammatory",1
"CFI","inflammatory",1
"CHGA","inflammatory",1
"CHI3L2","inflammatory",1
"CHUK","inflammatory",1
"CIC","inflammatory",1
"CISH","inflammatory",1
"CIT","inflammatory",1
"CKAP4","inflammatory",1
"CKLF","inflammatory",1
"CLCN7","inflammatory",1
"CLDN1","inflammatory",1
"CLDN11","inflammatory",1
"CLEC12A","inflammatory",1
"CLEC4C","inflammatory",1
"CLEC5A","inflammatory",1
"CLU","inflammatory",1
"CNOT3","inflammatory",1
"CNTNAP3","inflammatory",1
"CORT","inflammatory",1
"CR2","inflammatory",1
"CREG1","inflammatory",1
"CREM","inflammatory",1
"CRHR1","inflammatory",1
"CRISP3","inflammatory",1
"CSDA","inflammatory",1
"CSE","inflammatory",1
"CSK","inflammatory",1
"CST3","inflammatory",1
"CST4","inflammatory",1
"CTHRC1","inflammatory",1
"CTSB","inflammatory",1
"CTSC","inflammatory",1
"CTSG","inflammatory",1
"CTSH","inflammatory",1
"CTSL","inflammatory",1
"CXCL11","inflammatory",1
"CXCL2","inflammatory",1
"CXCL5","inflammatory",1
"CXCR6","inflammatory",1
"CYBB","inflammatory",1
"CYCLIN E","inflammatory",1
"CYCS","inflammatory",1
"CYP1A1","inflammatory",1
"CYP3A","inflammatory",1
"DAG1","inflammatory",1
"DAP","inflammatory",1
"DBP","inflammatory",1
"DDIT3","inflammatory",1
"DDOST","inflammatory",1
"DDR2","inflammatory",1
"DDX46","inflammatory",1
"DEFA1","inflammatory",1
"DEFA5","inflammatory",1
"DEFB104A","inflammatory",1
"DEK","inflammatory",1
"DHS","inflammatory",1
"DHX9","inflammatory",1
"DLG5","inflammatory",1
"DLL1","inflammatory",1
"DNAJC5","inflammatory",1
"DNASE1","inflammatory",1
"DNASE1L3","inflammatory",1
"DNASE2","inflammatory",1
"DNMT1","inflammatory",1
"DRD2","inflammatory",1
"DUSP1","inflammatory",1
"DUSP2","inflammatory",1
"DUSP22","inflammatory",1
"DUT","inflammatory",1
"DYT10","inflammatory",1
"E2F1","inflammatory",1
"EBI3","inflammatory",1
"ECD","inflammatory",1
"EDNRA","inflammatory",1
"EEF1A1","inflammatory",1
"EFNA2","inflammatory",1
"EGFL7","inflammatory",1
"EGLN1","inflammatory",1
"EGR1","inflammatory",1
"EGR2","inflammatory",1
"EIF2A","inflammatory",1
"EIF2AK1","inflammatory",1
"EIF2AK4","inflammatory",1
"EIF2S1","inflammatory",1
"ELAVL1","inflammatory",1
"ELF3","inflammatory",1
"ELK1","inflammatory",1
"ELOVL6","inflammatory",1
"EMB","inflammatory",1
"ENG","inflammatory",1
"ENPEP","inflammatory",1
"ENPP2","inflammatory",1
"ENTPD1","inflammatory",1
"EP300","inflammatory",1
"EPHA2","inflammatory",1
"EPHB2","inflammatory",1
"EPX","inflammatory",1
"ERAP2","inflammatory",1
"ERBB2","inflammatory",1
"ERI1","inflammatory",1
"ERVW-4","inflammatory",1
"ESAT","inflammatory",1
"ESR2","inflammatory",1
"ESRRA","inflammatory",1
"ETV3","inflammatory",1
"EXOSC10","inflammatory",1
"EZH2","inflammatory",1
"F10","inflammatory",1
"F12","inflammatory",1
"F2R","inflammatory",1
"F2RL1","inflammatory",1
"F2RL3","inflammatory",1
"F8","inflammatory",1
"FABP5","inflammatory",1
"FBL","inflammatory",1
"FBN1","inflammatory",1
"FCAR","inflammatory",1
"FCGRT","inflammatory",1
"FCN3","inflammatory",1
"FCRL3","inflammatory",1
"FDPS","inflammatory",1
"FFAR2","inflammatory",1
"FFAR4","inflammatory",1
"FGF10","inflammatory",1
"FGF21","inflammatory",1
"FGF23","inflammatory",1
"FGF7","inflammatory",1
"FGFR1","inflammatory",1
"FGFR3","inflammatory",1
"FHIT","inflammatory",1
"FHL2","inflammatory",1
"FKBP11","inflammatory",1
"FLG","inflammatory",1
"FLT3","inflammatory",1
"FLT3LG","inflammatory",1
"FLVCR1","inflammatory",1
"FOS","inflammatory",1
"FOSL1","inflammatory",1
"FOSL2","inflammatory",1
"FOXO1","inflammatory",1
"FST","inflammatory",1
"FSTL1","inflammatory",1
"FUT1","inflammatory",1
"FUT2","inflammatory",1
"FUT3","inflammatory",1
"FXN","inflammatory",1
"FZD8","inflammatory",1
"G6PD","inflammatory",1
"GABRP","inflammatory",1
"GAS5","inflammatory",1
"GAST","inflammatory",1
"GBP1","inflammatory",1
"GC","inflammatory",1
"GDF11","inflammatory",1
"GDF15","inflammatory",1
"GGTLC1","inflammatory",1
"GHR","inflammatory",1
"GHRL","inflammatory",1
"GHSR","inflammatory",1
"GIF","inflammatory",1
"GIP","inflammatory",1
"GJB2","inflammatory",1
"GLB1","inflammatory",1
"GLP1R","inflammatory",1
"GLS","inflammatory",1
"GNAQ","inflammatory",1
"GOPC","inflammatory",1
"GP2","inflammatory",1
"GPER1","inflammatory",1
"GPR35","inflammatory",1
"GPRIN1","inflammatory",1
"GPX1","inflammatory",1
"GPX2","inflammatory",1
"GRK6","inflammatory",1
"GSK3B","inflammatory",1
"GSN","inflammatory",1
"GSTM1","inflammatory",1
"GUCA2A","inflammatory",1
"GUCA2B","inflammatory",1
"GUCY2C","inflammatory",1
"GYPA","inflammatory",1
"GZMA","inflammatory",1
"H19","inflammatory",1
"H3F3AP4","inflammatory",1
"HAVCR1","inflammatory",1
"HAVCR2","inflammatory",1
"HBG2","inflammatory",1
"HBM","inflammatory",1
"HDAC3","inflammatory",1
"HISTONE H1","inflammatory",1
"HISTONE H2B","inflammatory",1
"HK1","inflammatory",1
"HLA-A","inflammatory",1
"HLA-DMA","inflammatory",1
"HLA-DQA1","inflammatory",1
"HLA-DRB3","inflammatory",1
"HLA-DRB5","inflammatory",1
"HMGB2","inflammatory",1
"HPGDS","inflammatory",1
"HPSE","inflammatory",1
"HSP90AB1","inflammatory",1
"HSP90B1","inflammatory",1
"HSPA2","inflammatory",1
"HSPA5","inflammatory",1
"HT","inflammatory",1
"HTR1A","inflammatory",1
"HTR2A","inflammatory",1
"IBD3","inflammatory",1
"IBD5","inflammatory",1
"IBSP","inflammatory",1
"ICAM3","inflammatory",1
"ICOSLG","inflammatory",1
"ID1","inflammatory",1
"ID3","inflammatory",1
"IDO1","inflammatory",1
"IDO2","inflammatory",1
"IFI27","inflammatory",1
"IFI44L","inflammatory",1
"IFNA17","inflammatory",1
"IFNA2","inflammatory",1
"IFNK","inflammatory",1
"IFNL1","inflammatory",1
"IGF1R","inflammatory",1
"IGFBP1","inflammatory",1
"IGFBP3","inflammatory",1
"IGFBP5","inflammatory",1
"IGHG3","inflammatory",1
"IGKV2D-29","inflammatory",1
"IKBKE","inflammatory",1
"IKZF1","inflammatory",1
"IL12RB2","inflammatory",1
"IL16","inflammatory",1
"IL18RAP","inflammatory",1
"IL1R1","inflammatory",1
"IL1RL2","inflammatory",1
"IL20","inflammatory",1
"IL20RB","inflammatory",1
"IL22RA2","inflammatory",1
"IL24","inflammatory",1
"IL26","inflammatory",1
"IL32","inflammatory",1
"IL36A","inflammatory",1
"IL36G","inflammatory",1
"IL36RN","inflammatory",1
"IL4I1","inflammatory",1
"IL4R","inflammatory",1
"IL6ST","inflammatory",1
"IL7","inflammatory",1
"ING4","inflammatory",1
"INHBE","inflammatory",1
"INSL3","inflammatory",1
"IRF1","inflammatory",1
"IRF2","inflammatory",1
"IRF3","inflammatory",1
"IRF4","inflammatory",1
"IRF7","inflammatory",1
"IRF8","inflammatory",1
"IRGM","inflammatory",1
"ISPD","inflammatory",1
"ITGA1","inflammatory",1
"ITGA2","inflammatory",1
"ITGAX","inflammatory",1
"ITPKC","inflammatory",1
"JAK1","inflammatory",1
"JMY","inflammatory",1
"JUNB","inflammatory",1
"KARS","inflammatory",1
"KCNA3","inflammatory",1
"KCNE3","inflammatory",1
"KCNN4","inflammatory",1
"KCNQ1","inflammatory",1
"KDM5A","inflammatory",1
"KDM6B","inflammatory",1
"KHDRBS1","inflammatory",1
"KIR2DL2","inflammatory",1
"KIR2DL3","inflammatory",1
"KIR2DL4","inflammatory",1
"KIR2DS2","inflammatory",1
"KIR3DL2","inflammatory",1
"KIR3DL3","inflammatory",1
"KITLG","inflammatory",1
"KL","inflammatory",1
"KLF13","inflammatory",1
"KLF2","inflammatory",1
"KLF5","inflammatory",1
"KLK1","inflammatory",1
"KLK6","inflammatory",1
"KLK7","inflammatory",1
"KLK8","inflammatory",1
"KLKB1","inflammatory",1
"KNG1","inflammatory",1
"KRAS","inflammatory",1
"KRT10","inflammatory",1
"KRT14","inflammatory",1
"KRT16","inflammatory",1
"KRT17","inflammatory",1
"KRT5","inflammatory",1
"KRT76","inflammatory",1
"LAIR1","inflammatory",1
"LAMP1","inflammatory",1
