"Source","Target"
"Branched-chain amino acid catabolism","ACAT1"
"Peptide hormone metabolism","ACE"
"Peptide hormone metabolism","ACE2"
"Sphingolipid metabolism","ACER1"
"Sphingolipid metabolism","ACER2"
"Sphingolipid metabolism","ACER3"
"Synthesis of PC","ACHE"
"Peptide hormone metabolism","ACHE"
"Apoptotic execution  phase","ACIN1"
"Chemokine receptors bind chemokines","ACKR2"
"Chemokine receptors bind chemokines","ACKR3"
"Chemokine receptors bind chemokines","ACKR4"
"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism","ACMSD"
"Pyruvate metabolism and Citric Acid (TCA) cycle","ACO2"
"Peroxisomal lipid metabolism","ACOT8"
"Bile acid and bile salt metabolism","ACOT8"
"Peroxisomal lipid metabolism","ACOX1"
"Peroxisomal lipid metabolism","ACOX2"
"Bile acid and bile salt metabolism","ACOX2"
"Peroxisomal lipid metabolism","ACOX3"
"Peroxisomal lipid metabolism","ACOXL"
"Metabolism of water-soluble vitamins and cofactors","ACP5"
"Phase II conjugation","ACSM1"
"Phase II conjugation","ACSM2A"
"Phase II conjugation","ACSM2B"
"Phase II conjugation","ACSM4"
"Phase II conjugation","ACSM5"
"Phase 1 - Functionalization of compounds","ACSS1"
"Phase 1 - Functionalization of compounds","ACSS2"
"EPH-Ephrin signaling","ACTB"
"Regulation of actin dynamics for phagocytic cup formation","ACTB"
"EPH-Ephrin signaling","ACTG1"
"Regulation of actin dynamics for phagocytic cup formation","ACTG1"
"RMTs methylate histone arginines","ACTL6A"
"RMTs methylate histone arginines","ACTL6B"
"Non-integrin membrane-ECM interactions","ACTN1"
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","ACTN2"
"Regulation of actin dynamics for phagocytic cup formation","ACTR2"
"EPH-Ephrin signaling","ACTR2"
"EPH-Ephrin signaling","ACTR3"
"Regulation of actin dynamics for phagocytic cup formation","ACTR3"
"Signaling by NODAL","ACVR1B"
"Signaling by NODAL","ACVR1C"
"Signaling by BMP","ACVR2A"
"Signaling by NODAL","ACVR2A"
"Signaling by BMP","ACVR2B"
"Signaling by NODAL","ACVR2B"
"Metabolism of nucleotides","ADA"
"Metabolism of nucleotides","ADAL"
"Signaling by NOTCH1","ADAM10"
"EPH-Ephrin signaling","ADAM10"
"Growth hormone receptor signaling","ADAM17"
"Death Receptor Signalling","ADAM17"
"Signaling by NOTCH1","ADAM17"
"Nuclear signaling by ERBB4","ADAM17"
"p75 NTR receptor-mediated signalling","ADAM17"
"Diseases of glycosylation","ADAMTS1"
"Diseases of glycosylation","ADAMTS10"
"Diseases of glycosylation","ADAMTS12"
"Diseases of glycosylation","ADAMTS13"
"Collagen formation","ADAMTS14"
"Diseases of glycosylation","ADAMTS14"
"Diseases of glycosylation","ADAMTS15"
"Diseases of glycosylation","ADAMTS16"
"Diseases of glycosylation","ADAMTS17"
"Diseases of glycosylation","ADAMTS18"
"Diseases of glycosylation","ADAMTS19"
"Diseases of glycosylation","ADAMTS2"
"Collagen formation","ADAMTS2"
"Diseases of glycosylation","ADAMTS20"
"Collagen formation","ADAMTS3"
"Diseases of glycosylation","ADAMTS3"
"Diseases of glycosylation","ADAMTS4"
"Diseases of glycosylation","ADAMTS5"
"Diseases of glycosylation","ADAMTS6"
"Diseases of glycosylation","ADAMTS7"
"Diseases of glycosylation","ADAMTS8"
"Diseases of glycosylation","ADAMTS9"
"Diseases of glycosylation","ADAMTSL1"
"Diseases of glycosylation","ADAMTSL2"
"Diseases of glycosylation","ADAMTSL3"
"Diseases of glycosylation","ADAMTSL4"
"Diseases of glycosylation","ADAMTSL5"
"Interferon alpha/beta signaling","ADAR"
"GABA receptor activation","ADCY1"
"Opioid Signalling","ADCY1"
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","ADCY1"
"GABA receptor activation","ADCY2"
"Opioid Signalling","ADCY2"
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","ADCY3"
"GABA receptor activation","ADCY3"
"Opioid Signalling","ADCY3"
"GABA receptor activation","ADCY4"
"Opioid Signalling","ADCY4"
"GABA receptor activation","ADCY5"
"Regulation of insulin secretion","ADCY5"
"Opioid Signalling","ADCY5"
"Regulation of insulin secretion","ADCY6"
"Opioid Signalling","ADCY6"
"GABA receptor activation","ADCY6"
"GABA receptor activation","ADCY7"
"Opioid Signalling","ADCY7"
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","ADCY8"
"Regulation of insulin secretion","ADCY8"
"GABA receptor activation","ADCY8"
"Opioid Signalling","ADCY8"
"GABA receptor activation","ADCY9"
"Opioid Signalling","ADCY9"
"Class B/2 (Secretin family receptors)","ADCYAP1"
"Class B/2 (Secretin family receptors)","ADCYAP1R1"
"Miscellaneous transport and binding events","ADD1"
"Apoptotic execution  phase","ADD1"
"Unfolded Protein Response (UPR)","ADD1"
"Miscellaneous transport and binding events","ADD2"
"Miscellaneous transport and binding events","ADD3"
"Phase 1 - Functionalization of compounds","ADH1A"
"Phase 1 - Functionalization of compounds","ADH1B"
"Phase 1 - Functionalization of compounds","ADH1C"
"Phase 1 - Functionalization of compounds","ADH4"
"Phase 1 - Functionalization of compounds","ADH5"
"Phase 1 - Functionalization of compounds","ADH6"
"Phase 1 - Functionalization of compounds","ADH7"
"Pyruvate metabolism and Citric Acid (TCA) cycle","ADHFE1"
"Transcriptional regulation of white adipocyte differentiation","ADIPOQ"
"Metabolism of nucleotides","ADK"
"Class B/2 (Secretin family receptors)","ADM"
"Class B/2 (Secretin family receptors)","ADM2"
"Surfactant metabolism","ADORA2A"
"Surfactant metabolism","ADORA2B"
"Glucose metabolism","ADPGK"
"Metabolism of nucleotides","ADPRM"
"Amine ligand-binding receptors","ADRA1A"
"Amine ligand-binding receptors","ADRA1B"
"Amine ligand-binding receptors","ADRA1D"
"Surfactant metabolism","ADRA2A"
"Regulation of insulin secretion","ADRA2A"
"Amine ligand-binding receptors","ADRA2A"
"Platelet Aggregation (Plug Formation)","ADRA2A"
"Amine ligand-binding receptors","ADRA2B"
"Platelet Aggregation (Plug Formation)","ADRA2B"
"Platelet Aggregation (Plug Formation)","ADRA2C"
"Regulation of insulin secretion","ADRA2C"
"Amine ligand-binding receptors","ADRA2C"
"Surfactant metabolism","ADRA2C"
"Amine ligand-binding receptors","ADRB1"
"Amine ligand-binding receptors","ADRB2"
"Amine ligand-binding receptors","ADRB3"
"Opioid Signalling","GRK2"
"Metabolism of nucleotides","ADSL"
"Metabolism of nucleotides","ADSS2"
"Metabolism of nucleotides","ADSS1"
"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism","AFMID"
"Netrin-1 signaling","AGAP2"
"RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways","AGER"
"Cytosolic sensors of pathogen-associated DNA","AGER"
"MyD88-independent TLR3/TLR4 cascade","AGER"
"Glucose metabolism","AGL"
"Pre-NOTCH Expression and Processing","AGO1"
"TP53 Regulates Metabolic Genes","AGO1"
"Oxidative Stress Induced Senescence","AGO1"
"Pre-NOTCH Expression and Processing","AGO2"
"TP53 Regulates Metabolic Genes","AGO2"
"Pre-NOTCH Expression and Processing","AGO3"
"TP53 Regulates Metabolic Genes","AGO3"
"Oxidative Stress Induced Senescence","AGO3"
"TP53 Regulates Metabolic Genes","AGO4"
"Oxidative Stress Induced Senescence","AGO4"
"Pre-NOTCH Expression and Processing","AGO4"
"Synthesis of PA","AGPAT1"
"Synthesis of PA","AGPAT2"
"Synthesis of PA","AGPAT3"
"COPI-independent Golgi-to-ER retrograde traffic","AGPAT3"
"Synthesis of PA","AGPAT4"
"Synthesis of PA","AGPAT5"
"Peroxisomal lipid metabolism","AGPS"
"Diseases of glycosylation","AGRN"
"Visual phototransduction","AGRN"
"NCAM1 interactions","AGRN"
"ECM proteoglycans","AGRN"
"Non-integrin membrane-ECM interactions","AGRN"
"Integrin cell surface interactions","AGRN"
"Heparan sulfate/heparin (HS-GAG) metabolism","AGRN"
"Peptide hormone metabolism","AGT"
"Glyoxylate metabolism and glycine degradation","AGXT"
"Glyoxylate metabolism and glycine degradation","AGXT2"
"Metabolism of nucleotides","AGXT2"
"Phase II conjugation","AHCY"
"Regulation of insulin secretion","AHCYL1"
"CLEC7A (Dectin-1) signaling","AHCYL1"
"Opioid Signalling","AHCYL1"
"TP53 Regulates Transcription of Cell Death Genes","AIFM2"
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","AIM2"
"tRNA Aminoacylation","AIMP1"
"tRNA Aminoacylation","AIMP2"
"Metabolism of nucleotides","AK1"
"Metabolism of nucleotides","AK2"
"Metabolism of nucleotides","AK4"
"Metabolism of nucleotides","AK5"
"Metabolism of nucleotides","AK6"
"Metabolism of nucleotides","AK7"
"Metabolism of nucleotides","AK8"
"Metabolism of nucleotides","AK9"
"p75 NTR receptor-mediated signalling","AKAP13"
"Regulation of insulin secretion","AKAP5"
"Trafficking of AMPA receptors","AKAP5"
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","AKAP9"
"Phase II conjugation","AKR1A1"
"Steroid hormones","AKR1B1"
"Visual phototransduction","AKR1B10"
"Steroid hormones","AKR1B15"
"Bile acid and bile salt metabolism","AKR1C1"
"Visual phototransduction","AKR1C1"
"Bile acid and bile salt metabolism","AKR1C2"
"Visual phototransduction","AKR1C3"
"Bile acid and bile salt metabolism","AKR1C3"
"Arachidonic acid metabolism","AKR1C3"
"Bile acid and bile salt metabolism","AKR1C4"
"Visual phototransduction","AKR1C4"
"Bile acid and bile salt metabolism","AKR1D1"
"GPVI-mediated activation cascade","AKT1"
"Deactivation of the beta-catenin transactivating complex","AKT1"
"Platelet Aggregation (Plug Formation)","AKT1"
"Translocation of GLUT4 to the plasma membrane","AKT1"
"Signaling by ERBB2","AKT1"
"Signaling by PTK6","AKT1"
"Intrinsic Pathway for Apoptosis","AKT1"
"Regulation of TP53 Expression and Degradation","AKT1"
"Regulation of TP53 Activity through Acetylation","AKT1"
"Negative regulation of the PI3K/AKT network","AKT1"
"Costimulation by the CD28 family","AKT1"
"Regulation of beta-cell development","AKT1"
"TP53 Regulates Metabolic Genes","AKT1"
"eNOS activation and regulation","AKT1"
"Cellular response to heat stress","AKT1S1"
"Intrinsic Pathway for Apoptosis","AKT2"
"Regulation of TP53 Activity through Acetylation","AKT2"
"Translocation of GLUT4 to the plasma membrane","AKT2"
"GPVI-mediated activation cascade","AKT2"
"Negative regulation of the PI3K/AKT network","AKT2"
"Costimulation by the CD28 family","AKT2"
"TP53 Regulates Metabolic Genes","AKT2"
"Deactivation of the beta-catenin transactivating complex","AKT2"
"Regulation of beta-cell development","AKT2"
"Regulation of TP53 Expression and Degradation","AKT2"
"Signaling by ERBB2","AKT2"
"GPVI-mediated activation cascade","AKT3"
"Regulation of beta-cell development","AKT3"
"Signaling by ERBB2","AKT3"
"Regulation of TP53 Expression and Degradation","AKT3"
"Regulation of TP53 Activity through Acetylation","AKT3"
"TP53 Regulates Metabolic Genes","AKT3"
"Costimulation by the CD28 family","AKT3"
"Negative regulation of the PI3K/AKT network","AKT3"
"Intrinsic Pathway for Apoptosis","AKT3"
"Metabolism of porphyrins","ALAD"
"Mitochondrial biogenesis","ALAS1"
"Metabolism of porphyrins","ALAS1"
"Metabolism of porphyrins","ALAS2"
"Disorders of transmembrane transporters","ALB"
"Bile acid and bile salt metabolism","ALB"
"Lipid digestion, mobilization, and transport","ALB"
"Transport of vitamins, nucleosides, and related molecules","ALB"
"Binding and Uptake of Ligands by Scavenger Receptors","ALB"
"L1CAM interactions","ALCAM"
"Amino acid synthesis and interconversion (transamination)","ALDH18A1"
"Phase 1 - Functionalization of compounds","ALDH1A1"
"Phase 1 - Functionalization of compounds","ALDH1B1"
"Metabolism of water-soluble vitamins and cofactors","ALDH1L1"
"Metabolism of water-soluble vitamins and cofactors","ALDH1L2"
"Phase 1 - Functionalization of compounds","ALDH2"
"Phase 1 - Functionalization of compounds","ALDH3A1"
"Sphingolipid metabolism","ALDH3A2"
"Peroxisomal lipid metabolism","ALDH3A2"
"Sphingolipid metabolism","ALDH3B1"
"Sphingolipid metabolism","ALDH3B2"
"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism","ALDH4A1"
"Neurotransmitter Release Cycle","ALDH5A1"
"Branched-chain amino acid catabolism","ALDH6A1"
"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism","ALDH7A1"
"Branched-chain amino acid catabolism","ALDH9A1"
"Glucose metabolism","ALDOA"
"Glucose metabolism","ALDOB"
"Glucose metabolism","ALDOC"
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","ALG1"
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","ALG10"
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","ALG10B"
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","ALG11"
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","ALG12"
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","ALG13"
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","ALG14"
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","ALG2"
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","ALG3"
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","ALG5"
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","ALG6"
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","ALG8"
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","ALG9"
"Arachidonic acid metabolism","ALOX12"
"Arachidonic acid metabolism","ALOX12B"
"Arachidonic acid metabolism","ALOX15"
"Arachidonic acid metabolism","ALOX15B"
"Arachidonic acid metabolism","ALOX5"
"Arachidonic acid metabolism","ALOX5AP"
"Peroxisomal lipid metabolism","AMACR"
"Bile acid and bile salt metabolism","AMACR"
"Binding and Uptake of Ligands by Scavenger Receptors","AMBP"
"Macroautophagy","AMBRA1"
"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism","AMDHD1"
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","AMDHD2"
"Diseases of metabolism","AMN"
"Lipid digestion, mobilization, and transport","AMN"
"Metabolism of water-soluble vitamins and cofactors","AMN"
"Signaling by Hippo","AMOT"
"Signaling by Hippo","AMOTL1"
"Signaling by Hippo","AMOTL2"
"Metabolism of nucleotides","AMPD1"
"Metabolism of nucleotides","AMPD2"
"Metabolism of nucleotides","AMPD3"
"Glyoxylate metabolism and glycine degradation","AMT"
"Tie2 Signaling","ANGPT1"
"Tie2 Signaling","ANGPT2"
"Tie2 Signaling","ANGPT4"
"Transcriptional regulation of white adipocyte differentiation","ANGPTL4"
"L1CAM interactions","ANK1"
"L1CAM interactions","ANK2"
"L1CAM interactions","ANK3"
"Miscellaneous transport and binding events","ANKH"
"COPII (Coat Protein 2) Mediated Vesicle Transport","ANKRD28"
"Peptide hormone metabolism","ANPEP"
"Uptake and actions of bacterial toxins","ANTXR1"
"Uptake and actions of bacterial toxins","ANTXR2"
"Phase 1 - Functionalization of compounds","AOC1"
"Phase 1 - Functionalization of compounds","AOC2"
"Phase 1 - Functionalization of compounds","AOC3"
"Metabolism of water-soluble vitamins and cofactors","AOX1"
"The role of Nef in HIV-1 replication and disease pathogenesis","AP1B1"
"trans-Golgi Network Vesicle Budding","AP1B1"
"The role of Nef in HIV-1 replication and disease pathogenesis","AP1G1"
"trans-Golgi Network Vesicle Budding","AP1G1"
"trans-Golgi Network Vesicle Budding","AP1G2"
"trans-Golgi Network Vesicle Budding","AP1M1"
"The role of Nef in HIV-1 replication and disease pathogenesis","AP1M1"
"trans-Golgi Network Vesicle Budding","AP1M2"
"The role of Nef in HIV-1 replication and disease pathogenesis","AP1M2"
"trans-Golgi Network Vesicle Budding","AP1S1"
"The role of Nef in HIV-1 replication and disease pathogenesis","AP1S1"
"trans-Golgi Network Vesicle Budding","AP1S2"
"The role of Nef in HIV-1 replication and disease pathogenesis","AP1S2"
"The role of Nef in HIV-1 replication and disease pathogenesis","AP1S3"
"trans-Golgi Network Vesicle Budding","AP1S3"
"L1CAM interactions","AP2A1"
"Trafficking of AMPA receptors","AP2A1"
"The role of Nef in HIV-1 replication and disease pathogenesis","AP2A1"
"EPH-Ephrin signaling","AP2A1"
"EGFR downregulation","AP2A1"
"L1CAM interactions","AP2A2"
"EPH-Ephrin signaling","AP2A2"
"Trafficking of AMPA receptors","AP2A2"
"EGFR downregulation","AP2A2"
"The role of Nef in HIV-1 replication and disease pathogenesis","AP2A2"
"L1CAM interactions","AP2B1"
"Trafficking of AMPA receptors","AP2B1"
"EPH-Ephrin signaling","AP2B1"
"EGFR downregulation","AP2B1"
"The role of Nef in HIV-1 replication and disease pathogenesis","AP2B1"
"Trafficking of AMPA receptors","AP2M1"
"The role of Nef in HIV-1 replication and disease pathogenesis","AP2M1"
"EPH-Ephrin signaling","AP2M1"
"EGFR downregulation","AP2M1"
"L1CAM interactions","AP2M1"
"EGFR downregulation","AP2S1"
"L1CAM interactions","AP2S1"
"EPH-Ephrin signaling","AP2S1"
"Trafficking of AMPA receptors","AP2S1"
"The role of Nef in HIV-1 replication and disease pathogenesis","AP2S1"
"trans-Golgi Network Vesicle Budding","AP3B1"
"trans-Golgi Network Vesicle Budding","AP3S1"
"trans-Golgi Network Vesicle Budding","AP4B1"
"trans-Golgi Network Vesicle Budding","AP4E1"
"trans-Golgi Network Vesicle Budding","AP4M1"
"trans-Golgi Network Vesicle Budding","AP4S1"
"Intrinsic Pathway for Apoptosis","APAF1"
"TP53 Regulates Transcription of Cell Death Genes","APAF1"
"Neurotransmitter Release Cycle","APBA1"
"MAP2K and MAPK activation","APBB1IP"
"Platelet Aggregation (Plug Formation)","APBB1IP"
"Deactivation of the beta-catenin transactivating complex","APC"
"Apoptotic execution  phase","APC"
"Amyloid fiber formation","APCS"
"EPH-Ephrin signaling","APH1A"
"Nuclear signaling by ERBB4","APH1A"
"Signaling by NOTCH1","APH1A"
"p75 NTR receptor-mediated signalling","APH1A"
"p75 NTR receptor-mediated signalling","APH1B"
"EPH-Ephrin signaling","APH1B"
"Nuclear signaling by ERBB4","APH1B"
"Signaling by NOTCH1","APH1B"
"Visual phototransduction","APOA1"
"Binding and Uptake of Ligands by Scavenger Receptors","APOA1"
"ABC-family proteins mediated transport","APOA1"
"Amyloid fiber formation","APOA1"
"Lipid digestion, mobilization, and transport","APOA1"
"Metabolism of water-soluble vitamins and cofactors","NAXE"
"Lipid digestion, mobilization, and transport","APOA2"
"Visual phototransduction","APOA2"
"Visual phototransduction","APOA4"
"Amyloid fiber formation","APOA4"
"Lipid digestion, mobilization, and transport","APOA4"
"Lipid digestion, mobilization, and transport","APOA5"
"Platelet homeostasis","APOB"
"Visual phototransduction","APOB"
"Lipid digestion, mobilization, and transport","APOB"
"Binding and Uptake of Ligands by Scavenger Receptors","APOB"
"Lipid digestion, mobilization, and transport","APOC2"
"Visual phototransduction","APOC2"
"Visual phototransduction","APOC3"
"Lipid digestion, mobilization, and transport","APOC3"
"Transport of vitamins, nucleosides, and related molecules","APOD"
"Lipid digestion, mobilization, and transport","APOE"
"Binding and Uptake of Ligands by Scavenger Receptors","APOE"
"Visual phototransduction","APOE"
"Lipid digestion, mobilization, and transport","APOF"
"Binding and Uptake of Ligands by Scavenger Receptors","APOL1"
"Visual phototransduction","APOM"
"Cytosolic sensors of pathogen-associated DNA","APP"
"RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways","APP"
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","APP"
"MyD88-independent TLR3/TLR4 cascade","APP"
"trans-Golgi Network Vesicle Budding","APP"
"Amyloid fiber formation","APP"
"Caspase activation via extrinsic apoptotic signalig pathway","APPL1"
"Metabolism of nucleotides","APRT"
"Detoxification of Reactive Oxygen Species","AQP8"
"Nuclear Receptor transcription pathway","AR"
"MAP2K and MAPK activation","ARAF"
"Negative regulation of MAPK pathway","ARAF"
"Signaling by PTK6","ARAP1"
"COPII (Coat Protein 2) Mediated Vesicle Transport","AREG"
"PI Metabolism","ARF1"
"trans-Golgi Network Vesicle Budding","ARF1"
"The role of Nef in HIV-1 replication and disease pathogenesis","ARF1"
"PI Metabolism","ARF3"
"Unfolded Protein Response (UPR)","ARFGAP1"
"Semaphorin interactions","ARHGAP35"
"Signaling by PTK6","ARHGAP35"
"p75 NTR receptor-mediated signalling","ARHGAP4"
"p75 NTR receptor-mediated signalling","ARHGDIA"
"p75 NTR receptor-mediated signalling","ARHGEF1"
"p75 NTR receptor-mediated signalling","ARHGEF11"
"Semaphorin interactions","ARHGEF11"
"p75 NTR receptor-mediated signalling","ARHGEF12"
"Semaphorin interactions","ARHGEF12"
"p75 NTR receptor-mediated signalling","ARHGEF16"
"p75 NTR receptor-mediated signalling","ARHGEF17"
"p75 NTR receptor-mediated signalling","ARHGEF18"
"Signaling by TGF-beta Receptor Complex","ARHGEF18"
"p75 NTR receptor-mediated signalling","ARHGEF2"
"EPH-Ephrin signaling","ARHGEF28"
"p75 NTR receptor-mediated signalling","ARHGEF3"
"p75 NTR receptor-mediated signalling","ARHGEF4"
"p75 NTR receptor-mediated signalling","ARHGEF6"
"p75 NTR receptor-mediated signalling","ARHGEF7"
"EPH-Ephrin signaling","ARHGEF7"
"EGFR downregulation","ARHGEF7"
"p75 NTR receptor-mediated signalling","ARHGEF9"
"GABA receptor activation","ARHGEF9"
"RMTs methylate histone arginines","ARID1A"
"RMTs methylate histone arginines","ARID1B"
"RMTs methylate histone arginines","ARID2"
"TP53 Regulates Transcription of Cell Cycle Genes","ARID3A"
"ISG15 antiviral mechanism","ARIH1"
"Regulation of insulin secretion","ARL2"
"Regulation of insulin secretion","ARL2BP"
"Neurotransmitter Release Cycle","ARL6IP5"
"Regulation of Hypoxia-inducible Factor (HIF) by oxygen","ARNT"
"Circadian Clock","ARNTL"
"Circadian Clock","ARNTL2"
"EPH-Ephrin signaling","ARPC1A"
"Regulation of actin dynamics for phagocytic cup formation","ARPC1A"
"Regulation of actin dynamics for phagocytic cup formation","ARPC1B"
"EPH-Ephrin signaling","ARPC1B"
"Regulation of actin dynamics for phagocytic cup formation","ARPC2"
"EPH-Ephrin signaling","ARPC2"
"EPH-Ephrin signaling","ARPC3"
"Regulation of actin dynamics for phagocytic cup formation","ARPC3"
"EPH-Ephrin signaling","ARPC4"
"Regulation of actin dynamics for phagocytic cup formation","ARPC4"
"EPH-Ephrin signaling","ARPC5"
"Regulation of actin dynamics for phagocytic cup formation","ARPC5"
"trans-Golgi Network Vesicle Budding","ARRB1"
"Signaling by NOTCH1","ARRB1"
"MAP2K and MAPK activation","ARRB1"
"MAP2K and MAPK activation","ARRB2"
"Signaling by NOTCH1","ARRB2"
"Sphingolipid metabolism","ARSA"
"Gamma carboxylation, hypusine formation and arylsulfatase activation","ARSA"
