"Id","Label","Class"
"cytochrome p450 arranged by substrate type","cytochrome p450 arranged by substrate type","Term"
"apoptotic cleavage of cell adhesion proteins","apoptotic cleavage of cell adhesion proteins","Term"
"nrage signals death through jnk","nrage signals death through jnk","Term"
"slbp dependent processing of replication dependent histone pre mrnas","slbp dependent processing of replication dependent histone pre mrnas","Term"
"nrif signals cell death from the nucleus","nrif signals cell death from the nucleus","Term"
"regulation of apoptosis","regulation of apoptosis","Term"
"neuronal system","neuronal system","Term"
"regulation of beta cell development","regulation of beta cell development","Term"
"cell death signalling via nrage nrif and nade","cell death signalling via nrage nrif and nade","Term"
"neurotransmitter release cycle","neurotransmitter release cycle","Term"
"p75 ntr receptor mediated signalling","p75 ntr receptor mediated signalling","Term"
"amino acid transport across the plasma membrane","amino acid transport across the plasma membrane","Term"
"endogenous sterols","endogenous sterols","Term"
"regulation of gene expression in beta cells","regulation of gene expression in beta cells","Term"
"glycolysis","glycolysis","Term"
"processive synthesis on the lagging strand","processive synthesis on the lagging strand","Term"
"mrna capping","mrna capping","Term"
"mitochondrial fatty acid beta oxidation","mitochondrial fatty acid beta oxidation","Term"
"signaling by gpcr","signaling by gpcr","Term"
"peptide ligand binding receptors","peptide ligand binding receptors","Term"
"metabolism of polyamines","metabolism of polyamines","Term"
"notch hlh transcription pathway","notch hlh transcription pathway","Term"
"integration of energy metabolism","integration of energy metabolism","Term"
"cell cycle mitotic","cell cycle mitotic","Term"
"gluconeogenesis","gluconeogenesis","Term"
"dopamine neurotransmitter release cycle","dopamine neurotransmitter release cycle","Term"
"opioid signalling","opioid signalling","Term"
"mitochondrial trna aminoacylation","mitochondrial trna aminoacylation","Term"
"cytosolic trna aminoacylation","cytosolic trna aminoacylation","Term"
"ca dependent events","ca dependent events","Term"
"acetylcholine neurotransmitter release cycle","acetylcholine neurotransmitter release cycle","Term"
"adenylate cyclase activating pathway","adenylate cyclase activating pathway","Term"
"adenylate cyclase inhibitory pathway","adenylate cyclase inhibitory pathway","Term"
"darpp 32 events","darpp 32 events","Term"
"chemokine receptors bind chemokines","chemokine receptors bind chemokines","Term"
"cell cycle checkpoints","cell cycle checkpoints","Term"
"p130cas linkage to mapk signaling for integrins","p130cas linkage to mapk signaling for integrins","Term"
"norepinephrine neurotransmitter release cycle","norepinephrine neurotransmitter release cycle","Term"
"peptide hormone biosynthesis","peptide hormone biosynthesis","Term"
"g protein activation","g protein activation","Term"
"acetylcholine binding and downstream events","acetylcholine binding and downstream events","Term"
"abc family proteins mediated transport","abc family proteins mediated transport","Term"
"trna aminoacylation","trna aminoacylation","Term"
"olfactory signaling pathway","olfactory signaling pathway","Term"
"pka mediated phosphorylation of creb","pka mediated phosphorylation of creb","Term"
"recruitment of numa to mitotic centrosomes","recruitment of numa to mitotic centrosomes","Term"
"nuclear receptor transcription pathway","nuclear receptor transcription pathway","Term"
"g1 phase","g1 phase","Term"
"glucagon signaling in metabolic regulation","glucagon signaling in metabolic regulation","Term"
"signaling by pdgf","signaling by pdgf","Term"
"association of tric cct with target proteins during biosynthesis","association of tric cct with target proteins during biosynthesis","Term"
"prefoldin mediated transfer of substrate to cct tric","prefoldin mediated transfer of substrate to cct tric","Term"
"hormone ligand binding receptors","hormone ligand binding receptors","Term"
"gpvi mediated activation cascade","gpvi mediated activation cascade","Term"
"protein folding","protein folding","Term"
"formation of tubulin folding intermediates by cct tric","formation of tubulin folding intermediates by cct tric","Term"
"peroxisomal lipid metabolism","peroxisomal lipid metabolism","Term"
"post chaperonin tubulin folding pathway","post chaperonin tubulin folding pathway","Term"
"striated muscle contraction","striated muscle contraction","Term"
"metabolism of nucleotides","metabolism of nucleotides","Term"
"amine ligand binding receptors","amine ligand binding receptors","Term"
"downstream signal transduction","downstream signal transduction","Term"
"muscle contraction","muscle contraction","Term"
"serotonin receptors","serotonin receptors","Term"
"mrna splicing","mrna splicing","Term"
"mrna splicing minor pathway","mrna splicing minor pathway","Term"
"processing of capped intronless pre mrna","processing of capped intronless pre mrna","Term"
"purine ribonucleoside monophosphate biosynthesis","purine ribonucleoside monophosphate biosynthesis","Term"
"citric acid cycle tca cycle","citric acid cycle tca cycle","Term"
"nucleotide excision repair","nucleotide excision repair","Term"
"axon guidance","axon guidance","Term"
"g alpha q signalling events","g alpha q signalling events","Term"
"p2y receptors","p2y receptors","Term"
"ncam1 interactions","ncam1 interactions","Term"
"class c 3 metabotropic glutamate pheromone receptors","class c 3 metabotropic glutamate pheromone receptors","Term"
"regulation of insulin secretion","regulation of insulin secretion","Term"
"ncam signaling for neurite out growth","ncam signaling for neurite out growth","Term"
"nucleotide like purinergic receptors","nucleotide like purinergic receptors","Term"
"eicosanoid ligand binding receptors","eicosanoid ligand binding receptors","Term"
"class b 2 secretin family receptors","class b 2 secretin family receptors","Term"
"glucagon type ligand receptors","glucagon type ligand receptors","Term"
"fanconi anemia pathway","fanconi anemia pathway","Term"
"trafficking of glur2 containing ampa receptors","trafficking of glur2 containing ampa receptors","Term"
"prostanoid ligand receptors","prostanoid ligand receptors","Term"
"opsins","opsins","Term"
"slc mediated transmembrane transport","slc mediated transmembrane transport","Term"
"cd28 co stimulation","cd28 co stimulation","Term"
"synthesis secretion and deacylation of ghrelin","synthesis secretion and deacylation of ghrelin","Term"
"adherens junctions interactions","adherens junctions interactions","Term"
"crmps in sema3a signaling","crmps in sema3a signaling","Term"
"other semaphorin interactions","other semaphorin interactions","Term"
"purine salvage","purine salvage","Term"
"g alpha i signalling events","g alpha i signalling events","Term"
"sema3a pak dependent axon repulsion","sema3a pak dependent axon repulsion","Term"
"cd28 dependent vav1 pathway","cd28 dependent vav1 pathway","Term"
"sema4d in semaphorin signaling","sema4d in semaphorin signaling","Term"
"semaphorin interactions","semaphorin interactions","Term"
"sema4d induced cell migration and growth cone collapse","sema4d induced cell migration and growth cone collapse","Term"
"sema3a plexin repulsion signaling by inhibiting integrin adhesion","sema3a plexin repulsion signaling by inhibiting integrin adhesion","Term"
"lysosome vesicle biogenesis","lysosome vesicle biogenesis","Term"
"sphingolipid metabolism","sphingolipid metabolism","Term"
"g alpha s signalling events","g alpha s signalling events","Term"
"cell cell junction organization","cell cell junction organization","Term"
"g alpha z signalling events","g alpha z signalling events","Term"
"costimulation by the cd28 family","costimulation by the cd28 family","Term"
"cd28 dependent pi3k akt signaling","cd28 dependent pi3k akt signaling","Term"
"tight junction interactions","tight junction interactions","Term"
"transport of inorganic cations anions and amino acids oligopeptides","transport of inorganic cations anions and amino acids oligopeptides","Term"
"golgi associated vesicle biogenesis","golgi associated vesicle biogenesis","Term"
"ctla4 inhibitory signaling","ctla4 inhibitory signaling","Term"
"branched chain amino acid catabolism","branched chain amino acid catabolism","Term"
"formation of fibrin clot clotting cascade","formation of fibrin clot clotting cascade","Term"
"deadenylation of mrna","deadenylation of mrna","Term"
"mrna decay by 5 to 3 exoribonuclease","mrna decay by 5 to 3 exoribonuclease","Term"
"signal amplification","signal amplification","Term"
"zinc transporters","zinc transporters","Term"
"metal ion slc transporters","metal ion slc transporters","Term"
"smooth muscle contraction","smooth muscle contraction","Term"
"mrna decay by 3 to 5 exoribonuclease","mrna decay by 3 to 5 exoribonuclease","Term"
"deadenylation dependent mrna decay","deadenylation dependent mrna decay","Term"
"thromboxane signalling through tp receptor","thromboxane signalling through tp receptor","Term"
"cell extracellular matrix interactions","cell extracellular matrix interactions","Term"
"cell junction organization","cell junction organization","Term"
"pyruvate metabolism","pyruvate metabolism","Term"
"purine catabolism","purine catabolism","Term"
"metabolism of rna","metabolism of rna","Term"
"mitotic g1 g1 s phases","mitotic g1 g1 s phases","Term"
"regulation of mitotic cell cycle","regulation of mitotic cell cycle","Term"
"tak1 activates nfkb by phosphorylation and activation of ikks complex","tak1 activates nfkb by phosphorylation and activation of ikks complex","Term"
"myogenesis","myogenesis","Term"
"activation of kainate receptors upon glutamate binding","activation of kainate receptors upon glutamate binding","Term"
"ionotropic activity of kainate receptors","ionotropic activity of kainate receptors","Term"
"mapk targets nuclear events mediated by map kinases","mapk targets nuclear events mediated by map kinases","Term"
"gpcr ligand binding","gpcr ligand binding","Term"
"jnk c jun kinases phosphorylation and activation mediated by activated human tak1","jnk c jun kinases phosphorylation and activation mediated by activated human tak1","Term"
"thrombin signalling through proteinase activated receptors pars","thrombin signalling through proteinase activated receptors pars","Term"
"energy dependent regulation of mtor by lkb1 ampk","energy dependent regulation of mtor by lkb1 ampk","Term"
"mitotic g2 g2 m phases","mitotic g2 g2 m phases","Term"
"activated tak1 mediates p38 mapk activation","activated tak1 mediates p38 mapk activation","Term"
"dna repair","dna repair","Term"
"effects of pip2 hydrolysis","effects of pip2 hydrolysis","Term"
"post translational protein modification","post translational protein modification","Term"
"chromosome maintenance","chromosome maintenance","Term"
"l1cam interactions","l1cam interactions","Term"
"interaction between l1 and ankyrins","interaction between l1 and ankyrins","Term"
"signal transduction by l1","signal transduction by l1","Term"
"transport of vitamins nucleosides and related molecules","transport of vitamins nucleosides and related molecules","Term"
"highly calcium permeable postsynaptic nicotinic acetylcholine receptors","highly calcium permeable postsynaptic nicotinic acetylcholine receptors","Term"
"organic cation anion zwitterion transport","organic cation anion zwitterion transport","Term"
"dcc mediated attractive signaling","dcc mediated attractive signaling","Term"
"recycling pathway of l1","recycling pathway of l1","Term"
"synthesis of substrates in n glycan biosythesis","synthesis of substrates in n glycan biosythesis","Term"
"respiratory electron transport","respiratory electron transport","Term"
"asparagine n linked glycosylation","asparagine n linked glycosylation","Term"
"assembly of the pre replicative complex","assembly of the pre replicative complex","Term"
"biosynthesis of the n glycan precursor dolichol lipid linked oligosaccharide llo and transfer to a nascent protein","biosynthesis of the n glycan precursor dolichol lipid linked oligosaccharide llo and transfer to a nascent protein","Term"
"cgmp effects","cgmp effects","Term"
"regulation of signaling by cbl","regulation of signaling by cbl","Term"
"calnexin calreticulin cycle","calnexin calreticulin cycle","Term"
"passive transport by aquaporins","passive transport by aquaporins","Term"
"nitric oxide stimulates guanylate cyclase","nitric oxide stimulates guanylate cyclase","Term"
"platelet homeostasis","platelet homeostasis","Term"
"n glycan trimming in the er and calnexin calreticulin cycle","n glycan trimming in the er and calnexin calreticulin cycle","Term"
"platelet sensitization by ldl","platelet sensitization by ldl","Term"
"aquaporin mediated transport","aquaporin mediated transport","Term"
"rap1 signalling","rap1 signalling","Term"
"platelet calcium homeostasis","platelet calcium homeostasis","Term"
"prostacyclin signalling through prostacyclin receptor","prostacyclin signalling through prostacyclin receptor","Term"
"gaba synthesis release reuptake and degradation","gaba synthesis release reuptake and degradation","Term"
"incretin synthesis secretion and inactivation","incretin synthesis secretion and inactivation","Term"
"transport of organic anions","transport of organic anions","Term"
"irak1 recruits ikk complex","irak1 recruits ikk complex","Term"
"traf6 mediated irf7 activation","traf6 mediated irf7 activation","Term"
"circadian clock","circadian clock","Term"
"factors involved in megakaryocyte development and platelet production","factors involved in megakaryocyte development and platelet production","Term"
"regulation of ifng signaling","regulation of ifng signaling","Term"
"regulation of mrna stability by proteins that bind au rich elements","regulation of mrna stability by proteins that bind au rich elements","Term"
"traf3 dependent irf activation pathway","traf3 dependent irf activation pathway","Term"
"gaba b receptor activation","gaba b receptor activation","Term"
"transport to the golgi and subsequent modification","transport to the golgi and subsequent modification","Term"
"iron uptake and transport","iron uptake and transport","Term"
"interferon gamma signaling","interferon gamma signaling","Term"
"n glycan antennae elongation","n glycan antennae elongation","Term"
"traf6 mediated irf7 activation in tlr7 8 or 9 signaling","traf6 mediated irf7 activation in tlr7 8 or 9 signaling","Term"
"activation of irf3 irf7 mediated by tbk1 ikk epsilon","activation of irf3 irf7 mediated by tbk1 ikk epsilon","Term"
"ion transport by p type atpases","ion transport by p type atpases","Term"
"interferon alpha beta signaling","interferon alpha beta signaling","Term"
"advanced glycosylation endproduct receptor signaling","advanced glycosylation endproduct receptor signaling","Term"
"gaba receptor activation","gaba receptor activation","Term"
"kinesins","kinesins","Term"
"n glycan antennae elongation in the medial trans golgi","n glycan antennae elongation in the medial trans golgi","Term"
"regulation of ifna signaling","regulation of ifna signaling","Term"
"interferon signaling","interferon signaling","Term"
"transferrin endocytosis and recycling","transferrin endocytosis and recycling","Term"
"dscam interactions","dscam interactions","Term"
"ion channel transport","ion channel transport","Term"
"ikk complex recruitment mediated by rip1","ikk complex recruitment mediated by rip1","Term"
"formation of incision complex in gg ner","formation of incision complex in gg ner","Term"
"transcriptional regulation of white adipocyte differentiation","transcriptional regulation of white adipocyte differentiation","Term"
"endosomal sorting complex required for transport escrt","endosomal sorting complex required for transport escrt","Term"
"meiotic recombination","meiotic recombination","Term"
"platelet aggregation plug formation","platelet aggregation plug formation","Term"
"signaling by notch","signaling by notch","Term"
"lagging strand synthesis","lagging strand synthesis","Term"
"inhibition of replication initiation of damaged dna by rb1 e2f1","inhibition of replication initiation of damaged dna by rb1 e2f1","Term"
"ethanol oxidation","ethanol oxidation","Term"
"synthesis of very long chain fatty acyl coas","synthesis of very long chain fatty acyl coas","Term"
"dna replication","dna replication","Term"
"e2f mediated regulation of dna replication","e2f mediated regulation of dna replication","Term"
"metabolism of carbohydrates","metabolism of carbohydrates","Term"
"signaling by insulin receptor","signaling by insulin receptor","Term"
"signal attenuation","signal attenuation","Term"
"sos mediated signalling","sos mediated signalling","Term"
"hemostasis","hemostasis","Term"
"hiv infection","hiv infection","Term"
"hiv life cycle","hiv life cycle","Term"
"early phase of hiv life cycle","early phase of hiv life cycle","Term"
"host interactions of hiv factors","host interactions of hiv factors","Term"
"viral messenger rna synthesis","viral messenger rna synthesis","Term"
"interactions of vpr with host cellular proteins","interactions of vpr with host cellular proteins","Term"
"formation of atp by chemiosmotic coupling","formation of atp by chemiosmotic coupling","Term"
"activation of atr in response to replication stress","activation of atr in response to replication stress","Term"
"unwinding of dna","unwinding of dna","Term"
"glucuronidation","glucuronidation","Term"
"innate immune system","innate immune system","Term"
"mitotic prometaphase","mitotic prometaphase","Term"
"g1 s specific transcription","g1 s specific transcription","Term"
"signaling by tgf beta receptor complex","signaling by tgf beta receptor complex","Term"
"phosphorylation of the apc c","phosphorylation of the apc c","Term"
"cytosolic sulfonation of small molecules","cytosolic sulfonation of small molecules","Term"
"integration of provirus","integration of provirus","Term"
"glutathione conjugation","glutathione conjugation","Term"
"complement cascade","complement cascade","Term"
"mtorc1 mediated signalling","mtorc1 mediated signalling","Term"
"activation of bh3 only proteins","activation of bh3 only proteins","Term"
"glucose metabolism","glucose metabolism","Term"
"voltage gated potassium channels","voltage gated potassium channels","Term"
"adaptive immune system","adaptive immune system","Term"
"nod1 2 signaling pathway","nod1 2 signaling pathway","Term"
"cytokine signaling in immune system","cytokine signaling in immune system","Term"
"meiotic synapsis","meiotic synapsis","Term"
"the nlrp3 inflammasome","the nlrp3 inflammasome","Term"
"class i mhc mediated antigen processing presentation","class i mhc mediated antigen processing presentation","Term"
"tandem pore domain potassium channels","tandem pore domain potassium channels","Term"
"inflammasomes","inflammasomes","Term"
"potassium channels","potassium channels","Term"
"nucleotide binding domain leucine rich repeat containing receptor nlr signaling pathways","nucleotide binding domain leucine rich repeat containing receptor nlr signaling pathways","Term"
"telomere maintenance","telomere maintenance","Term"
"platelet activation signaling and aggregation","platelet activation signaling and aggregation","Term"
"creation of c4 and c2 activators","creation of c4 and c2 activators","Term"
"apc cdc20 mediated degradation of nek2a","apc cdc20 mediated degradation of nek2a","Term"
"initial triggering of complement","initial triggering of complement","Term"
"extension of telomeres","extension of telomeres","Term"
"g2 m checkpoints","g2 m checkpoints","Term"
"g2 m dna damage checkpoint","g2 m dna damage checkpoint","Term"
"s phase","s phase","Term"
"tryptophan catabolism","tryptophan catabolism","Term"
"dna strand elongation","dna strand elongation","Term"
"cholesterol biosynthesis","cholesterol biosynthesis","Term"
"fgfr2c ligand binding and activation","fgfr2c ligand binding and activation","Term"
"metabolism of porphyrins","metabolism of porphyrins","Term"
"vif mediated degradation of apobec3g","vif mediated degradation of apobec3g","Term"
"signaling by fgfr","signaling by fgfr","Term"
"digestion of dietary carbohydrate","digestion of dietary carbohydrate","Term"
"fgfr1 ligand binding and activation","fgfr1 ligand binding and activation","Term"
"gap junction assembly","gap junction assembly","Term"
"synthesis of glycosylphosphatidylinositol gpi","synthesis of glycosylphosphatidylinositol gpi","Term"
"intrinsic pathway for apoptosis","intrinsic pathway for apoptosis","Term"
"apoptotic execution phase","apoptotic execution phase","Term"
"interleukin 6 signaling","interleukin 6 signaling","Term"
"mapk3 erk1 activation","mapk3 erk1 activation","Term"
"translesion synthesis by y family dna polymerases bypasses lesions on dna template","translesion synthesis by y family dna polymerases bypasses lesions on dna template","Term"
"recognition of dna damage by pcna containing replication complex","recognition of dna damage by pcna containing replication complex","Term"
"translesion synthesis by polh","translesion synthesis by polh","Term"
"displacement of dna glycosylase by apex1","displacement of dna glycosylase by apex1","Term"
"polb dependent long patch base excision repair","polb dependent long patch base excision repair","Term"
"activation of bad and translocation to mitochondria","activation of bad and translocation to mitochondria","Term"
"activation of noxa and translocation to mitochondria","activation of noxa and translocation to mitochondria","Term"
