"Source","Target","pval","comm","logpval"
"ABC-family proteins mediated transport","Nuclear signaling by ERBB4",1,0,0
"ABC-family proteins mediated transport","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",1,0,0
"ABC-family proteins mediated transport","Opioid Signalling",1,0,0
"ABC-family proteins mediated transport","Oxidative Stress Induced Senescence",1,0,0
"ABC-family proteins mediated transport","p75 NTR receptor-mediated signalling",1,0,0
"ABC-family proteins mediated transport","Peptide hormone metabolism",1,0,0
"ABC-family proteins mediated transport","Peroxisomal lipid metabolism",0.225968410311485,1,1.48736006686243
"ABC-family proteins mediated transport","Phase 0 - rapid depolarisation",1,0,0
"ABC-family proteins mediated transport","Phase 1 - Functionalization of compounds",1,0,0
"ABC-family proteins mediated transport","Phase II conjugation",1,0,0
"ABC-family proteins mediated transport","PI Metabolism",1,0,0
"ABC-family proteins mediated transport","Pink/Parkin Mediated Mitophagy",1,0,0
"ABC-family proteins mediated transport","PIWI-interacting RNA (piRNA) biogenesis",1,0,0
"ABC-family proteins mediated transport","Platelet Aggregation (Plug Formation)",1,0,0
"ABC-family proteins mediated transport","Platelet homeostasis",1,0,0
"ABC-family proteins mediated transport","Polo-like kinase mediated events",1,0,0
"ABC-family proteins mediated transport","Potassium Channels",0.0654659149797611,3,2.72622565377501
"ABC-family proteins mediated transport","Pre-NOTCH Expression and Processing",1,0,0
"ABC-family proteins mediated transport","Pyruvate metabolism and Citric Acid (TCA) cycle",1,0,0
"ABC-family proteins mediated transport","Rap1 signalling",1,0,0
"ABC-family proteins mediated transport","Regulation of actin dynamics for phagocytic cup formation",1,0,0
"ABC-family proteins mediated transport","Regulation of beta-cell development",1,0,0
"ABC-family proteins mediated transport","Regulation of cholesterol biosynthesis by SREBP (SREBF)",1,0,0
"ABC-family proteins mediated transport","Regulation of FZD by ubiquitination",1,0,0
"ABC-family proteins mediated transport","Regulation of Hypoxia-inducible Factor (HIF) by oxygen",1,0,0
"ABC-family proteins mediated transport","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",1,0,0
"ABC-family proteins mediated transport","Regulation of insulin secretion",0.173325176551985,2,1.75258581553598
"ABC-family proteins mediated transport","Regulation of KIT signaling",1,0,0
"ABC-family proteins mediated transport","Regulation of TP53 Activity through Acetylation",1,0,0
"ABC-family proteins mediated transport","Regulation of TP53 Activity through Methylation",1,0,0
"ABC-family proteins mediated transport","Regulation of TP53 Activity through Phosphorylation",1,0,0
"ABC-family proteins mediated transport","Regulation of TP53 Expression and Degradation",1,0,0
"ABC-family proteins mediated transport","RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways",1,0,0
"ABC-family proteins mediated transport","RMTs methylate histone arginines",1,0,0
"ABC-family proteins mediated transport","SALM protein interactions at the synapse",1,0,0
"ABC-family proteins mediated transport","Semaphorin interactions",1,0,0
"ABC-family proteins mediated transport","Signaling by BMP",1,0,0
"ABC-family proteins mediated transport","Signaling by ERBB2",1,0,0
"ABC-family proteins mediated transport","Signaling by FGFR in disease",1,0,0
"ABC-family proteins mediated transport","Signaling by Hippo",1,0,0
"ABC-family proteins mediated transport","Signaling by NODAL",1,0,0
"ABC-family proteins mediated transport","Signaling by NOTCH1",1,0,0
"ABC-family proteins mediated transport","Signaling by PTK6",1,0,0
"ABC-family proteins mediated transport","Signaling by TGF-beta Receptor Complex",1,0,0
"ABC-family proteins mediated transport","Sphingolipid metabolism",1,0,0
"ABC-family proteins mediated transport","Steroid hormones",1,0,0
"ABC-family proteins mediated transport","SUMO E3 ligases SUMOylate target proteins",1,0,0
"ABC-family proteins mediated transport","Surfactant metabolism",0.240560216293467,1,1.42478484117745
"ABC-family proteins mediated transport","Synthesis of PA",1,0,0
"ABC-family proteins mediated transport","Synthesis of PC",1,0,0
"ABC-family proteins mediated transport","The role of Nef in HIV-1 replication and disease pathogenesis",1,0,0
"ABC-family proteins mediated transport","Tie2 Signaling",1,0,0
"ABC-family proteins mediated transport","TP53 Regulates Metabolic Genes",1,0,0
"ABC-family proteins mediated transport","TP53 Regulates Transcription of Cell Cycle Genes",1,0,0
"ABC-family proteins mediated transport","TP53 Regulates Transcription of Cell Death Genes",1,0,0
"ABC-family proteins mediated transport","Trafficking of AMPA receptors",1,0,0
"ABC-family proteins mediated transport","Transcriptional regulation of pluripotent stem cells",1,0,0
"ABC-family proteins mediated transport","Transcriptional regulation of white adipocyte differentiation",1,0,0
"ABC-family proteins mediated transport","trans-Golgi Network Vesicle Budding",1,0,0
"ABC-family proteins mediated transport","Translocation of GLUT4 to the plasma membrane",1,0,0
"ABC-family proteins mediated transport","Transport of vitamins, nucleosides, and related molecules",1,0,0
"ABC-family proteins mediated transport","tRNA Aminoacylation",1,0,0
"ABC-family proteins mediated transport","Unfolded Protein Response (UPR)",0.560003210715509,1,0.579812761848826
"ABC-family proteins mediated transport","Uptake and actions of bacterial toxins",1,0,0
"ABC-family proteins mediated transport","Visual phototransduction",0.231882111708954,2,1.46152617564784
"ABC-family proteins mediated transport","YAP1- and WWTR1 (TAZ)-stimulated gene expression",1,0,0
"Activation of Matrix Metalloproteinases","Activation of NMDA receptor upon glutamate binding and postsynaptic events",1,0,0
"Activation of Matrix Metalloproteinases","Amine compound SLC transporters",1,0,0
"Activation of Matrix Metalloproteinases","Amine-derived hormones",1,0,0
"Activation of Matrix Metalloproteinases","Amine ligand-binding receptors",1,0,0
"Activation of Matrix Metalloproteinases","Amino acid synthesis and interconversion (transamination)",1,0,0
"Activation of Matrix Metalloproteinases","Amyloid fiber formation",0.368779857530818,1,0.997555405030866
"Activation of Matrix Metalloproteinases","Apoptotic execution  phase",1,0,0
"Activation of Matrix Metalloproteinases","Arachidonic acid metabolism",1,0,0
"Activation of Matrix Metalloproteinases","Basigin interactions",0.154972939217504,1,1.86450476299827
"Activation of Matrix Metalloproteinases","Bile acid and bile salt metabolism",1,0,0
"Activation of Matrix Metalloproteinases","Binding and Uptake of Ligands by Scavenger Receptors",1,0,0
"Activation of Matrix Metalloproteinases","Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",1,0,0
"Activation of Matrix Metalloproteinases","Branched-chain amino acid catabolism",1,0,0
"Activation of Matrix Metalloproteinases","Caspase activation via extrinsic apoptotic signalig pathway",1,0,0
"Activation of Matrix Metalloproteinases","CD209 (DC-SIGN) signaling",1,0,0
"Activation of Matrix Metalloproteinases","Cellular response to heat stress",1,0,0
"Activation of Matrix Metalloproteinases","Chemokine receptors bind chemokines",1,0,0
"Activation of Matrix Metalloproteinases","Circadian Clock",1,0,0
"Activation of Matrix Metalloproteinases","Class B/2 (Secretin family receptors)",1,0,0
"Activation of Matrix Metalloproteinases","Class C/3 (Metabotropic glutamate/pheromone receptors)",1,0,0
"Activation of Matrix Metalloproteinases","CLEC7A (Dectin-1) signaling",1,0,0
"Activation of Matrix Metalloproteinases","Collagen formation",1.65821175533546e-05,6,11.0071856990809
"Activation of Matrix Metalloproteinases","Complement cascade",1,0,0
"Activation of Matrix Metalloproteinases","COPII (Coat Protein 2) Mediated Vesicle Transport",1,0,0
"Activation of Matrix Metalloproteinases","COPI-independent Golgi-to-ER retrograde traffic",1,0,0
"Activation of Matrix Metalloproteinases","Costimulation by the CD28 family",1,0,0
"Activation of Matrix Metalloproteinases","Cyclin A/B1 associated events during G2/M transition",1,0,0
"Activation of Matrix Metalloproteinases","Cytosolic sensors of pathogen-associated DNA",1,0,0
"Activation of Matrix Metalloproteinases","Deactivation of the beta-catenin transactivating complex",1,0,0
"Activation of Matrix Metalloproteinases","Deadenylation-dependent mRNA decay",1,0,0
"Activation of Matrix Metalloproteinases","Death Receptor Signalling",1,0,0
"Activation of Matrix Metalloproteinases","Defensins",0.271890173681101,1,1.30235706745575
"Activation of Matrix Metalloproteinases","Detoxification of Reactive Oxygen Species",1,0,0
"Activation of Matrix Metalloproteinases","Diseases of glycosylation",1,0,0
"Activation of Matrix Metalloproteinases","Diseases of metabolism",1,0,0
"Activation of Matrix Metalloproteinases","Disorders of transmembrane transporters",1,0,0
"Activation of Matrix Metalloproteinases","ECM proteoglycans",1,0,0
"Activation of Matrix Metalloproteinases","Effects of PIP2 hydrolysis",1,0,0
"Activation of Matrix Metalloproteinases","EGFR downregulation",1,0,0
"Activation of Matrix Metalloproteinases","Eicosanoid ligand-binding receptors",1,0,0
"Activation of Matrix Metalloproteinases","Elastic fibre formation",0.241658104062912,1,1.4202313448871
"Activation of Matrix Metalloproteinases","Endosomal Sorting Complex Required For Transport (ESCRT)",1,0,0
"Activation of Matrix Metalloproteinases","eNOS activation and regulation",1,0,0
"Activation of Matrix Metalloproteinases","EPH-Ephrin signaling",0.132239651712675,2,2.02313945922454
"Activation of Matrix Metalloproteinases","Formation of Fibrin Clot (Clotting Cascade)",0.231313156557561,1,1.46398283043909
"Activation of Matrix Metalloproteinases","G1 Phase",1,0,0
"Activation of Matrix Metalloproteinases","GABA receptor activation",1,0,0
"Activation of Matrix Metalloproteinases","Gamma carboxylation, hypusine formation and arylsulfatase activation",0.231313156557561,1,1.46398283043909
"Activation of Matrix Metalloproteinases","Glucose metabolism",1,0,0
"Activation of Matrix Metalloproteinases","Glyoxylate metabolism and glycine degradation",1,0,0
"Activation of Matrix Metalloproteinases","GPVI-mediated activation cascade",1,0,0
"Activation of Matrix Metalloproteinases","Growth hormone receptor signaling",1,0,0
"Activation of Matrix Metalloproteinases","Heparan sulfate/heparin (HS-GAG) metabolism",1,0,0
"Activation of Matrix Metalloproteinases","Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism",1,0,0
"Activation of Matrix Metalloproteinases","Hyaluronan metabolism",1,0,0
"Activation of Matrix Metalloproteinases","Integrin cell surface interactions",0.364463822368636,1,1.00932798522025
"Activation of Matrix Metalloproteinases","Interferon alpha/beta signaling",1,0,0
"Activation of Matrix Metalloproteinases","Interferon gamma signaling",1,0,0
"Activation of Matrix Metalloproteinases","Interleukin-6 family signaling",1,0,0
"Activation of Matrix Metalloproteinases","Intrinsic Pathway for Apoptosis",1,0,0
"Activation of Matrix Metalloproteinases","Iron uptake and transport",1,0,0
"Activation of Matrix Metalloproteinases","ISG15 antiviral mechanism",1,0,0
"Activation of Matrix Metalloproteinases","Keratan sulfate/keratin metabolism",1,0,0
"Activation of Matrix Metalloproteinases","L1CAM interactions",1,0,0
"Activation of Matrix Metalloproteinases","Lipid digestion, mobilization, and transport",1,0,0
"Activation of Matrix Metalloproteinases","Macroautophagy",1,0,0
"Activation of Matrix Metalloproteinases","MAP2K and MAPK activation",1,0,0
"Activation of Matrix Metalloproteinases","Metabolism of nucleotides",1,0,0
"Activation of Matrix Metalloproteinases","Metabolism of porphyrins",1,0,0
"Activation of Matrix Metalloproteinases","Metabolism of water-soluble vitamins and cofactors",0.0284280929523873,3,3.56037743427515
"Activation of Matrix Metalloproteinases","Metal ion SLC transporters",1,0,0
"Activation of Matrix Metalloproteinases","Miscellaneous transport and binding events",1,0,0
"Activation of Matrix Metalloproteinases","Mitochondrial biogenesis",1,0,0
"Activation of Matrix Metalloproteinases","MyD88-independent TLR3/TLR4 cascade",1,0,0
"Activation of Matrix Metalloproteinases","Myogenesis",1,0,0
"Activation of Matrix Metalloproteinases","NCAM1 interactions",1,0,0
"Activation of Matrix Metalloproteinases","Negative regulation of MAPK pathway",1,0,0
"Activation of Matrix Metalloproteinases","Negative regulation of the PI3K/AKT network",1,0,0
"Activation of Matrix Metalloproteinases","Netrin-1 signaling",1,0,0
"Activation of Matrix Metalloproteinases","Neurotransmitter Release Cycle",1,0,0
"Activation of Matrix Metalloproteinases","N-glycan trimming in the ER and Calnexin/Calreticulin cycle",1,0,0
"Activation of Matrix Metalloproteinases","Non-integrin membrane-ECM interactions",1,0,0
"Activation of Matrix Metalloproteinases","Nuclear Receptor transcription pathway",1,0,0
"Activation of Matrix Metalloproteinases","Nuclear signaling by ERBB4",1,0,0
"Activation of Matrix Metalloproteinases","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",1,0,0
"Activation of Matrix Metalloproteinases","Opioid Signalling",1,0,0
"Activation of Matrix Metalloproteinases","Oxidative Stress Induced Senescence",1,0,0
"Activation of Matrix Metalloproteinases","p75 NTR receptor-mediated signalling",1,0,0
"Activation of Matrix Metalloproteinases","Peptide hormone metabolism",0.103675365579754,2,2.26649074664656
"Activation of Matrix Metalloproteinases","Peroxisomal lipid metabolism",1,0,0
"Activation of Matrix Metalloproteinases","Phase 0 - rapid depolarisation",1,0,0
"Activation of Matrix Metalloproteinases","Phase 1 - Functionalization of compounds",1,0,0
"Activation of Matrix Metalloproteinases","Phase II conjugation",1,0,0
"Activation of Matrix Metalloproteinases","PI Metabolism",1,0,0
"Activation of Matrix Metalloproteinases","Pink/Parkin Mediated Mitophagy",1,0,0
"Activation of Matrix Metalloproteinases","PIWI-interacting RNA (piRNA) biogenesis",1,0,0
"Activation of Matrix Metalloproteinases","Platelet Aggregation (Plug Formation)",1,0,0
"Activation of Matrix Metalloproteinases","Platelet homeostasis",1,0,0
"Activation of Matrix Metalloproteinases","Polo-like kinase mediated events",1,0,0
"Activation of Matrix Metalloproteinases","Potassium Channels",1,0,0
"Activation of Matrix Metalloproteinases","Pre-NOTCH Expression and Processing",0.319700808418131,1,1.14036969424224
"Activation of Matrix Metalloproteinases","Pyruvate metabolism and Citric Acid (TCA) cycle",1,0,0
"Activation of Matrix Metalloproteinases","Rap1 signalling",1,0,0
"Activation of Matrix Metalloproteinases","Regulation of actin dynamics for phagocytic cup formation",1,0,0
"Activation of Matrix Metalloproteinases","Regulation of beta-cell development",1,0,0
"Activation of Matrix Metalloproteinases","Regulation of cholesterol biosynthesis by SREBP (SREBF)",1,0,0
"Activation of Matrix Metalloproteinases","Regulation of FZD by ubiquitination",1,0,0
"Activation of Matrix Metalloproteinases","Regulation of Hypoxia-inducible Factor (HIF) by oxygen",1,0,0
"Activation of Matrix Metalloproteinases","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",1.83281382856824e-07,5,15.5122432537793
"Activation of Matrix Metalloproteinases","Regulation of insulin secretion",1,0,0
"Activation of Matrix Metalloproteinases","Regulation of KIT signaling",1,0,0
"Activation of Matrix Metalloproteinases","Regulation of TP53 Activity through Acetylation",1,0,0
"Activation of Matrix Metalloproteinases","Regulation of TP53 Activity through Methylation",1,0,0
"Activation of Matrix Metalloproteinases","Regulation of TP53 Activity through Phosphorylation",1,0,0
"Activation of Matrix Metalloproteinases","Regulation of TP53 Expression and Degradation",1,0,0
"Activation of Matrix Metalloproteinases","RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways",1,0,0
"Activation of Matrix Metalloproteinases","RMTs methylate histone arginines",1,0,0
"Activation of Matrix Metalloproteinases","SALM protein interactions at the synapse",1,0,0
"Activation of Matrix Metalloproteinases","Semaphorin interactions",1,0,0
"Activation of Matrix Metalloproteinases","Signaling by BMP",1,0,0
"Activation of Matrix Metalloproteinases","Signaling by ERBB2",1,0,0
"Activation of Matrix Metalloproteinases","Signaling by FGFR in disease",1,0,0
"Activation of Matrix Metalloproteinases","Signaling by Hippo",1,0,0
"Activation of Matrix Metalloproteinases","Signaling by NODAL",0.120052430922282,1,2.11982670727139
"Activation of Matrix Metalloproteinases","Signaling by NOTCH1",1,0,0
"Activation of Matrix Metalloproteinases","Signaling by PTK6",1,0,0
"Activation of Matrix Metalloproteinases","Signaling by TGF-beta Receptor Complex",0.389937619698746,1,0.941768502142125
"Activation of Matrix Metalloproteinases","Sphingolipid metabolism",1,0,0
"Activation of Matrix Metalloproteinases","Steroid hormones",1,0,0
"Activation of Matrix Metalloproteinases","SUMO E3 ligases SUMOylate target proteins",1,0,0
"Activation of Matrix Metalloproteinases","Surfactant metabolism",1,0,0
"Activation of Matrix Metalloproteinases","Synthesis of PA",1,0,0
"Activation of Matrix Metalloproteinases","Synthesis of PC",1,0,0
"Activation of Matrix Metalloproteinases","The role of Nef in HIV-1 replication and disease pathogenesis",1,0,0
"Activation of Matrix Metalloproteinases","Tie2 Signaling",1,0,0
"Activation of Matrix Metalloproteinases","TP53 Regulates Metabolic Genes",1,0,0
"Activation of Matrix Metalloproteinases","TP53 Regulates Transcription of Cell Cycle Genes",1,0,0
"Activation of Matrix Metalloproteinases","TP53 Regulates Transcription of Cell Death Genes",1,0,0
"Activation of Matrix Metalloproteinases","Trafficking of AMPA receptors",1,0,0
"Activation of Matrix Metalloproteinases","Transcriptional regulation of pluripotent stem cells",1,0,0
"Activation of Matrix Metalloproteinases","Transcriptional regulation of white adipocyte differentiation",1,0,0
"Activation of Matrix Metalloproteinases","trans-Golgi Network Vesicle Budding",1,0,0
"Activation of Matrix Metalloproteinases","Translocation of GLUT4 to the plasma membrane",1,0,0
"Activation of Matrix Metalloproteinases","Transport of vitamins, nucleosides, and related molecules",1,0,0
"Activation of Matrix Metalloproteinases","tRNA Aminoacylation",1,0,0
"Activation of Matrix Metalloproteinases","Unfolded Protein Response (UPR)",1,0,0
"Activation of Matrix Metalloproteinases","Uptake and actions of bacterial toxins",0.166311888743935,1,1.79389040559749
"Activation of Matrix Metalloproteinases","Visual phototransduction",1,0,0
"Activation of Matrix Metalloproteinases","YAP1- and WWTR1 (TAZ)-stimulated gene expression",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Amine compound SLC transporters",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Amine-derived hormones",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Amine ligand-binding receptors",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Amino acid synthesis and interconversion (transamination)",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Amyloid fiber formation",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Apoptotic execution  phase",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Arachidonic acid metabolism",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Basigin interactions",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Bile acid and bile salt metabolism",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Binding and Uptake of Ligands by Scavenger Receptors",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Branched-chain amino acid catabolism",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Caspase activation via extrinsic apoptotic signalig pathway",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","CD209 (DC-SIGN) signaling",5.13833230624602e-07,5,14.4813670781756
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Cellular response to heat stress",0.000987666651977884,5,6.92016531393103
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Chemokine receptors bind chemokines",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Circadian Clock",0.405256899629828,1,0.903234092897891
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Class B/2 (Secretin family receptors)",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Class C/3 (Metabotropic glutamate/pheromone receptors)",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","CLEC7A (Dectin-1) signaling",0.192990088495294,2,1.64511644634263
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Collagen formation",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Complement cascade",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","COPII (Coat Protein 2) Mediated Vesicle Transport",0.429455404390571,1,0.845237374402536
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","COPI-independent Golgi-to-ER retrograde traffic",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Costimulation by the CD28 family",0.448120965480799,1,0.802692070779968
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Cyclin A/B1 associated events during G2/M transition",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Cytosolic sensors of pathogen-associated DNA",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Deactivation of the beta-catenin transactivating complex",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Deadenylation-dependent mRNA decay",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Death Receptor Signalling",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Defensins",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Detoxification of Reactive Oxygen Species",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Diseases of glycosylation",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Diseases of metabolism",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Disorders of transmembrane transporters",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","ECM proteoglycans",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","Effects of PIP2 hydrolysis",1,0,0
"Activation of NMDA receptor upon glutamate binding and postsynaptic events","EGFR downregulation",1,0,0
