Term,HEPATITIS C,MALARIA,DISEASE DUE TO PARVOVIRIDAE,HEPATITIS B,HIV INFECTION,HYDROPHOBIA,BACTERIAL INFECTION DUE TO PSEUDOMONAS,SALMONELLA INFECTION,HUMAN FLU,CLASSICAL DENGUE FEVERS,EBOLA VIRUS DISEASE,MYCOBACTERIUM INFECTION,TOXOPLASMA GONDII INFECTION,YELLOW FEVER,CRYPTOCOCCOSES,YERSINIA INFECTION,GIARDIASES,HERPES ZOSTER,DISEASE DUE TO ROTAVIRUS,BACILLARY DYSENTERY,MEASLES,DISEASE DUE TO TRICHOMONADIDAE,RESPIRATORY SYNCYTIAL VIRUS INFECTION,HELICOBACTER PYLORI INFECTION,CANDIDA INFECTION,CHIKUNGUNYA FEVER,GERMAN MEASLES,ANTHRAX,FASCIOLIASES,HEPATITIS A,SYPHILIS,CHLAMYDIA INFECTION,CRYPTOSPORIDIOSES,AFRICAN SLEEPING SICKNESSES,DISEASE CAUSED BY RICKETTSIAE,PCP,WEST NILE VIRAL INFECTION,BRUCELLOSIS,ZIKA VIRUS DISEASE,HERPES,LISTERIA INFECTION,AMERICAN TRYPANOSOMIASIS,DERMATOPHYTOSIS,FUNGUS DISEASE,E COLI INFECTION,LEISHMANIASES,SMALLPOX,ANGUILLULIASES,ASPERGILLOSES,HUMAN PAPILLOMA VIRUS INFECTION,BABESIA PARASITE INFECTIONS,NECROTIZING FASCIITIDES,LEPTOSPIROSIS,STREPTOCOCCAL INFECTION,ENTOMOPHTHORAMYCOSES,AMOEBIC DYSENTERY,COCCIDIOIDES IMMITIS INFECTIONS,HISTOPLASMOSES
Caspase activation via extrinsic apoptotic signalig pathway,3.56836394115302e-05,NA,NA,4.60147640158535e-05,1.71687813817472e-09,0.00922495088954356,NA,NA,0.000349285177712181,0.000299847729833631,NA,NA,NA,NA,NA,1.63247072813302e-05,NA,NA,NA,NA,NA,NA,4.92141981331149e-05,0.00126177307667268,NA,0.00477248468523919,NA,NA,NA,NA,NA,2.3107283715342e-05,NA,NA,NA,NA,NA,NA,0.00276271919053649,NA,NA,NA,NA,NA,NA,0.00922495088954356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interleukin-6 family signaling,3.56836394115302e-05,0.000765357520981682,NA,0.000408793673230885,0.00011868762783419,NA,NA,NA,0.0026239332750614,0.00294961059124399,NA,NA,0.000159611120892525,NA,NA,NA,NA,0.000328456273967548,NA,NA,0.00148538519685702,NA,0.00112529434116142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00108575633303366,NA,0.00195381659005583,0.00477248468523919,NA,NA,0.000246471014468444,NA,0.00922495088954356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CD209 (DC-SIGN) signaling,0.000438207142209343,NA,NA,NA,8.85875425936632e-08,NA,NA,NA,0.00640223150252639,0.00111762949870561,NA,NA,NA,0.000897700094714191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000903931030813585,NA,0.00167041072256014,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000653641614491712,NA,NA,NA,NA,NA,NA,NA,NA,NA
Transcriptional regulation of white adipocyte differentiation,0.000516477460310543,NA,NA,0.00938762802226627,0.000275412049637356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00313382378920786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00903170639581488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00903170639581488,NA,NA,NA,NA,NA,NA,0.000441015337596091,NA,NA
Death Receptor Signalling,0.000537957999190991,NA,NA,0.000369667626170266,2.71162673833185e-07,NA,NA,NA,0.00763216125419238,NA,NA,0.00413815788467101,NA,NA,NA,NA,NA,NA,NA,NA,0.00774227979751086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00466316083676685,NA,NA,NA,NA,NA,NA,NA,NA,0.000793441361686709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Intrinsic Pathway for Apoptosis,0.000980467770634912,NA,0.00960701865476755,NA,0.000241764829995911,NA,NA,0.00153709659704486,0.000725177327233052,0.000325315583801326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00454844003552712,NA,NA,0.00358595033314876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00660100386213874,0.00468988606720594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Binding and Uptake of Ligands by Scavenger Receptors,0.00105633907254703,3.25324754553815e-05,NA,0.000411692862447064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00347826063987008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAP2K and MAPK activation,0.00248185105635425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00294245698084493,NA,NA,NA,NA,NA,0.00271945066255941,NA,NA,NA,0.00341893674670619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0054275820281969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deadenylation-dependent mRNA decay,0.00314414274593862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00370025995163171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Negative regulation of MAPK pathway,0.00336387868830597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00325666070941307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00600099668823954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chemokine receptors bind chemokines,0.00640829180775102,2.48528536892968e-06,NA,0.00474098997860195,2.11515714903958e-24,0.00333435369576631,NA,NA,7.74600211787452e-10,0.000241870545818158,NA,3.45399478084571e-05,6.61485519674138e-05,NA,NA,0.00421949097267544,NA,NA,NA,NA,NA,NA,1.89429356935025e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.137341332966e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Complement cascade,NA,1.09743909556646e-05,NA,NA,NA,NA,NA,NA,NA,NA,0.00703818124270863,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00463582229644307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00532492822138584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eNOS activation and regulation,NA,0.000172092059046824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00570267428344839,NA,NA,NA,NA,0.00946359381953655,NA,NA,NA,NA,NA,0.00262664828483088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Formation of Fibrin Clot (Clotting Cascade),NA,0.000640223732250955,NA,NA,0.00857982231839194,NA,0.00209620384767256,0.00612392874610391,NA,0.00171927566641397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peptide hormone metabolism,NA,0.00186182145942009,NA,NA,0.000132201940993496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detoxification of Reactive Oxygen Species,NA,0.00196663145858928,NA,NA,NA,NA,0.000847262189339756,NA,0.0064545666709809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metabolism of nucleotides,NA,0.00271434095093266,NA,NA,NA,NA,0.0031401418403073,0.00472559600998557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPVI-mediated activation cascade,NA,0.00326901883651087,NA,NA,0.000550797725083873,NA,NA,NA,0.00294504606310902,NA,0.00012331529775204,0.00547365492973963,NA,NA,0.000219706252264982,NA,NA,NA,NA,NA,NA,NA,0.00782523983447972,NA,NA,NA,0.00566147556336293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.77132689631297e-06,NA,0.00017631079874193,NA,0.00821832842301151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP53 Regulates Metabolic Genes,NA,0.00846710473423742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00177696420827825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Regulation of TP53 Activity through Phosphorylation,NA,NA,0.00368513297585328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Synthesis of PA,NA,NA,0.00434736671828536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Regulation of beta-cell development,NA,NA,NA,1.73359360254917e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nuclear Receptor transcription pathway,NA,NA,NA,1.56854389715464e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N-glycan trimming in the ER and Calnexin/Calreticulin cycle,NA,NA,NA,0.000310895149026348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unfolded Protein Response (UPR),NA,NA,NA,0.0013660929799491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00467176493623236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Platelet Aggregation (Plug Formation),NA,NA,NA,0.00234215836052385,NA,NA,NA,1.14216109460314e-05,NA,0.00932222380863918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cellular response to heat stress,NA,NA,NA,0.00313285007617247,0.000321283720578899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iron uptake and transport,NA,NA,NA,0.00508858293999124,NA,NA,NA,0.000273836614196131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Negative regulation of the PI3K/AKT network,NA,NA,NA,0.00651631141331486,NA,NA,NA,NA,0.00539917018342327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxidative Stress Induced Senescence,NA,NA,NA,NA,4.85501435760761e-05,NA,NA,NA,0.00580594002400531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00599281479067715,NA,NA,NA,0.00689898874703323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The role of Nef in HIV-1 replication and disease pathogenesis,NA,NA,NA,NA,0.000163124861212518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G1 Phase,NA,NA,NA,NA,0.000443589233681188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Integrin cell surface interactions,NA,NA,NA,NA,0.000470035288168206,NA,NA,0.00399921559629453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00335297129975641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nuclear signaling by ERBB4,NA,NA,NA,NA,0.00233293270484608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP53 Regulates Transcription of Cell Cycle Genes,NA,NA,NA,NA,0.00305366239225142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),NA,NA,NA,NA,0.00405494443304431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00415861273522435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Signaling by PTK6,NA,NA,NA,NA,0.00460943484672257,NA,NA,0.000884039157612908,0.00288401537173268,NA,0.00428660944982774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0019807580243017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Regulation of TP53 Expression and Degradation,NA,NA,NA,NA,0.00517339076249824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.73979648074165e-06,NA,0.0083853441574678,0.00264345744451613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00488106108553968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amyloid fiber formation,NA,NA,NA,NA,0.00521749527034296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Signaling by NOTCH1,NA,NA,NA,NA,0.00831528665515619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLEC7A (Dectin-1) signaling,NA,NA,NA,NA,0.00833973696068878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000944363944173946,NA,0.00284450513865113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.09554429026035e-05,NA,NA,NA,NA,0.000698213980823538,NA,NA,NA,NA,NA,NA,NA,NA,NA
Signaling by TGF-beta Receptor Complex,NA,NA,NA,NA,0.00927832885436233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00234880666407691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
p75 NTR receptor-mediated signalling,NA,NA,NA,NA,NA,0.000985867575557652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000785666003582514,NA,0.00322782717492243,NA,NA,0.00374683568653497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00649696080903455,NA,NA,NA,NA,0.00993447687974591,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism,NA,NA,NA,NA,NA,NA,4.04672205786968e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
